DS DISEMINADOS	
AV DOCTOR SAINZ GARCIA	Avenida Doctor Sainz Garcia
CL ARRABALES	Calle Arrabales
CL BARRIALES	Calle Barriales
CL BARRIZALES	Calle Barrizales
CL CARRAPOZO	Calle Carrapozo
CL COLAGO	Calle Colago
CL CONSISTORIO	Calle Consistorio
CL COSTANILLA	Calle Costanilla
CL CUATRO CALLES	Calle Cuatro Calles
CL ESTANCO	Calle Estanco
CL NUEVA	Calle Estanco
CL EXTRAMUROS	Calle Extramuros
CL HOSPITAL	Calle Hospital
CL FUENTE	Calle La Fuente
CL VEGA	Calle La Vega
CL MAYOR	Calle Mayor
CL OBISPO	Calle Obispo
CL PONTON	Calle Pontón
CL SAN MIGUEL	Calle San Miguel
CL SANTIAGO	Calle Santiago
CR SAHAGUN-MAYORGA	Carretera/Carrera Sahagun-Mayorga
PZ CORRILLO	Plaza Corrillo
PZ MAYOR	Plaza Mayor
