DS DISSEMINATS	
AV JOCS SPECIALS OLYMPICS	Avinguda dels Jocs Special Olympics
AV MARIGNANE	Avinguda de Marignane
AV VILALLONGA	Avinguda de Vilallonga
AV OLIMPIA	Avinguda d'Olimpia
AV BARCELONA	Avinguda de Barcelona
CL MARIA ANGELS ANGLADA	Avinguda de Maria Àngels Anglada
AV MONTSERRAT VAYREDA	Avinguda de Montserrat Vayreda
AV PERPINYA	Avinguda de Perpinyà
AV DE ROSES	Avinguda de Roses
AV SALVADOR DALI I DOMÈNECH	Avinguda de Salvador Dalí i Domènech
AV COSTA BRAVA	Avinguda de la Costa Brava
AV PIRINEUS DELS	Avinguda dels Pirineus
BJ INDUSTRIA	Baixada de la Indústria
CZ ROMANA	Calçada Romana
CZ TAPIS	Calçada Tapis
CM MOLI-VILATENIM	Camí del Molí
CM FORQUES, DE LES	Camí de les Forques
PL FORQUES EST	Camí de les Forques
CM DEL FAR D'EMPORDA	Camí del Far d'Emporda
CL ADELA ROSA	Carrer Adela Rosa
CL ALVAREZ CASTRO	Carrer d’Alvarez de Castro
CL AMPLE	Carrer Ample
CL ANGEL	Carrer de l’Àngel
CL ANICET DE PAGES	Carrer d’Anicet de Pagès
CL ANTONI RIBAS DE CONILL	Carrer d’Antoni Ribas de Conill
CL ANTONI XIRAU	Carrer d’Antoni Xirau
CL ARIBAU	Carrer d’Aribau
CL ARIES	Carrer d’Àries
CL ARNERA	Carrer de l’Arnera
BJ MERCER	Baixada del Doctor Mercer
CL BANYULS	Carrer de Banyuls
CL BASSEGODA	Carrer de Bassegoda
CL BORRASSA	Carrer Borrassà
CL CALCADA-VILATENIM	Carrer de la Calçada
CL CANTALLOPS	Carrer de Cantallops
CL CAPRICORNI	Carrer de Capricorn
CL CARLES CORRETGER	Carrer Carles Corretger
CL CASERNA	Carrer de la Caserna
CL CASTELLO	Carrer de Castelló
CL DE LA CLOSETA	Carrer Closeta
CL COLOM	Carrer de Colom
CL COL.LEGI	Carrer del Col·legi
CL COMPOSITOR JOSEP COLL	Carrer del Compositor Coll
CL CRESQUES ELIES	Carrer de Cresques Elies
CL CUIXA	Carrer de Cuixà
CL DAMA D'ARAGO	Carrer de la Dama d'Aragó
CL DAMAS CALVET	Carrer de Damas Calvet
CL DR PASTEUR	Carrer del Doctor Pasteur
CL ERES D'EN SANS	Carrer de les Eres d'en Sans
CL ERES DE LA VILA	Carrer de les Eres de la Vila
CL ESCOLAPI	Carrer d’Esculapi
CL ESPERANCA	Carrer de l’Esperança
CL ESTACIO	Carrer de l’Estació
CL FORN BAIX	Carrer del Forn Baix
CL FORN NOU	Carrer del Forn Nou
CL FRANCESC GIMENO	Carrer de Francesc Gimeno
CL GONZALEZ DE SOTO	Carrer Gonzàlez de Soto
CL GRAN BRETANYA	Carrer de Gran Bretanya
CL HORTA PAGES	Carrer de l’Horta Pagès
CL HORTES	Carrer de les Hortes
CL JOAN ARDERIUS	Carrer de Joan Arderius
CL JOAQUIM SOROLLA	Carrer de Joaquim Sorolla
CL JOAQUIM VAYREDA	Carrer de Joaquim Vayreda
CL JOAQUIM XIRAU	Carrer de Joaquim Xirau
CL JONCOLS	Carrer de Jòncols
CL JORDI CUFFI CASELLAS	Carrer Jordi Cuffi Casellas
CL JOSEP BONATERRA	Carrer de Josep Bonaterra
CL JOSEP MARIA SERT	Carrer de Josep Maria Sert
CL JOSEP VICENS FOIX	Carrer de Josep Vicenç Foix
CL LASAUCA	Carrer de Lasauca
CL LLADO	Carrer de Lladó
CL LLOBREGAT	Carrer del Llobregat
CL LLUIS MILLET I PAGES	Carrer de Lluis Millet i Pagès
CL MAGRE	Carrer Magre
CL MAJOR	Carrer Major
CL MANOL	Carrer del Manol
CL MANUEL BRUNET SOLA	Carrer de Manuel Brunet
CL MESTRE MANUEL DE FALLA	Carrer Mestre Manuel de Falla
CL MAR	Carrer de la Mar
CL MARCA DE L'HAM	Carrer Marca de l'Ham
PL MARCA DE L'HAM	Plaça Marca de l'Ham
CL MARIA LLAVANERA	Carrer de Marià Llavanera
CL MARIA FORTUNY	Carrer de Marià Fortuny
CL MASSANA LA	Carrer de la Massana
CL MOLI DE VENT	Carrer del Molí de Vent
CL MUNTANER	Carrer de Muntaner
CL NOU	Carrer Nou
CL PLA DEL MARQUES-VILATENIM	Carrer del Pla del Marquès
CL PLAÇA-VILATENIM	Carrer de la Plaça
CL NOU-VILATENIM	Carrer Nou de Vilatenim
CL DUANA-VILATENIM	Carrer de la Duana
CL OLOT	Carrer d’Olot
CL PANISSARS	Carrer de Panissars
AV PARC DEL MANOL	Avinguda del Parc del Manol
CL PEP VENTURA	Carrer de Pep Ventura
CL PERE SERAS ISERN	Carrer de Pere Seras i Isern
CL PERALADA	Carrer de Peralada
CL PLA DE SANT PAU-VILATENIM	Carrer Pla de Sant Pau
CL POETA MARQUINA	Carrer del Poeta Marquina
CL POL VILATENIM CARRER Nº3	Carrer Pol Vilatenim Carrer Nº3
CL PONT DE MOLINS	Carrer Pont de Molins
CL PORTUGAL	Carrer Portugal
CL POU ARTESIA	Carrer del Pou Artesià
CL PUIG ROM	Carrer del Puig Rom
CL PUIG D'ESQUER	Carrer del Puig d'Esquers
CL QUERMANCO	Carrer Quermançó
CL RAMON I CAJAL	Carrer Ramon y Cajal
CL RENTADOR	Carrer del Rentador
CL JOSEP ROCA I BROS	Carrer de Josep Roca i Bros
CL RODES	Carrer Rodes
CL RUBAUDONADEU	Carrer de Rubaudonadeu
CL SAGITARI	Carrer Sagitari
CL ST ANTONI	Carrer de Sant Antoni
CL ST ESTEVE	Carrer de Sant Esteve
CL ST JOAN BAPTISTA	Carrer de Sant Joan Baptista
CL ST JOSEP SOL D'ISERN	Carrer Sant Josep Sol d'Isern
CL ST LLUIS GONZAGA	Carrer Sant Lluis Gonzaga
CL PAU	Carrer de la Pau
CL ST PAU	Carrer de Sant Pau
CL SANT PERE RODA	Carrer de Sant Pere de Rodes
CL ST ROC	Carrer de Sant Roc
CL ST VICENC	Carrer de Sant Vicenç
CL STA LLOGAIA	Carrer Santa Llogaia
CL SANTIAGO MUNDI GIRO	Carrer Santiago Mundi
CL SANTIAGO RUSINYOL	Carrer de Santiago Russinyol
CL SIMO GRATACOS	Carrer Simó Gratacós
CL SIURANA	Carrer de Siurana
CL SOL D'ISERN	Carrer Sol d'Isern
CL TAMARIUS I ROSES	Carrer Tamarius i Roses
CL TAPIS	Carrer de Tapis
CL TARRERES	Carrer de les Terreres
CL TRO-VILATENIM	Carrer del Tro
CL VERGE MARIA	Carrer de la Verge Maria
CL VIA EMPORITANA	Carrer de la Via Emporitana
CL VIA LACTIA	Carrer de la Via Làctia
CL VILAFANT	Carrer de Vilafant
CL VIOLA	Carrer de la Viola
CL AGAPIT TORRENT	Carrer d'Agapit Torrent
CL ALBERT COTO	Carrer d'Albert Cotó
CL ALBENIZ	Carrer d'Albéniz
CL ALEMANYA	Carrer d'Alemanya
CL APEL.LES MESTRES	Carrer d'Apel·les Mestres
CL AQUARI	Carrer d'Aquari
CL AVINYONET	Carrer d'Avinyonet
CL EDUARD RODEJA	Carrer d'Eduard Rodeja
CL ELX	Carrer d'Elx
CL ENRIC GRANADOS	Carrer d'Enric Granados
CL ENRIC SANS	Carrer d'Enric Sans
CL ENRIQUETA PALER	Carrer d'Enriqueta Palet
CL ESCORPI	Carrer d'Escorpió
CL HOLANDA	Carrer d'Holanda
CL ISABEL II	Carrer d'Isabel II
CL ITALIA	Carrer d'Itàlia
CL ORIENT	Carrer d'Orient
CL ORLINA	Carrer d'Orlina
CL BLANC	Carrer d'en Blanch
CL D'ÀUREA DE SARRÀ	Carrer d'Àurea de Sarrà
CL ALEXANDRE DEULOFEU	Carrer de Alexandre Deulofeu
CL ANTONIA RAGUER MOLINAS	Carrer de Antònia Raguer
CL BALMES	Carrer de Balmes
CL BELLAIRE	Carrer de Bellaire
CL BESALU	Carrer de Besalú
CL BELGICA	Carrer de Bèlgica
CL CAAMAÑO	Carrer de Caamaño
CL CABANES	Carrer de Cabanes
CL CADAQUES	Carrer de Cadaqués
CL CAPMANY	Carrer de Capmany
CL CLERCH I NICOLAU	Carrer de Clerch i Nicolau
CL CRANC	Carrer de Cranc
CL DALMAU DE CREIXELL	Carrer de Dalmau de Creixell
CL DOMENEC RODIL	Carrer de Domènec Rodil
CL CARLES FAGES CLIMENT	Carrer de Fages de Climent
PL FAGES DE CLIMENT	Carrer de Fages de Climent
CL FREDERIC MISTRAL	Carrer de Federic Mistral
CL FORTIA	Carrer de Fortià
CL FRANCA	Carrer de França
CL GALLIGANS	Carrer de Galligans
CL GARRIGAS	Carrer de Garrigàs
CL GIRONA	Carrer de Girona
CL GLÒRIA COMPTE MASSACHS	Carrer de Glòria Compte Massachs
CL GRECIA	Carrer de Grècia
CL JOAN BRUGUERA	Carrer de Joan Bruguera
CL JOAN MARAGALL	Carrer de Joan Maragall
CL JOAN SALVAT	Carrer de Joan Salvat
CL JOAQUIM CUSI I FORTUNET	Carrer de Joaquim Cusí i Fortunet
CL JOAQUIM MIR	Carrer de Joaquim Mir
CL ARQUITECTE JOSEP AZEMAR	Carrer de Josep Azemar
CL JOSEP CARNER	Carrer de Josep Carner
CL JOSEP MARIA SEGARRA	Carrer de Josep Maria de Sagarra
CL JOSEP DE MASDEVALL	Carrer de Josep de Masdevall
CL JULI GARRETA	Carrer de Juli Garreta
CL JUNCARIA	Carrer de Juncària
CL AVI XAXU	Carrer de L'Avi Xaxu
CL LLANCA	Carrer de Llançà
CL LLEIDA	Carrer de Lleida
CL LLERS	Carrer de Llers
CL LLEO	Carrer de Lleó
CL MARIÀ PUJULÀ	Carrer de Marià Pujolar
CL MOLLET DE PERALADA	Carrer de Mollet de Peralada
CL MONTGO	Carrer de Montgó
CL D'ESPOLLA	Carrer de Montgó
CL MONTURIOL	Carrer de Monturiol
CL MENDEZ NUÑEZ	Carrer de Méndez Núñez
CL NARCIS SOLER	Carrer de Narcís Soler
CL NOSTRA SENYORA DE LOURDES	Carrer de Nostra Senyora de Lourdes
CL NURIA	Carrer de Núria
CL PEIXOS	Carrer de Peixos
CL PELLA I FORGAS	Carrer de Pella i Forgas
CL PERE III	Carrer de Pere III
CL PERE TEIXIDOR	Carrer de Pere Teixidor
CL PI I MARGALL	Carrer de Pi i Margall
CL POMPEU FABRA	Carrer de Pompeu Fabra
CL PONENT	Carrer de Ponent
CL PORT LLIGAT	Carrer de Port Lligat
CL POUS I PAGES	Carrer de Pous i Pagès
CL PRIMFILAT	Carrer de Primfilat
CL PUJADES	Carrer de Pujades
CL RABOS D'EMPORDÀ	Carrer de Rabós d'Empordà
CL RAFAEL TORRENT	Carrer de Rafael Torrent
CL RAMON BASIL	Carrer de Ramon Basil
CL RAMON LLULL	Carrer de Ramon Llull
CL RAMON REIG	Carrer de Ramon Reig
CL REQUESENS	Carrer de Requesens
CL RIUMORS	Carrer de Riumors
CL ROCABERTI	Carrer de Rocabertí
CL ROSSELLO	Carrer de Roselló
CL SALVADOR ESPRIU	Carrer de Salvador Espriu
CL SANT CLIMENT	Carrer de Sant Climent Sescebes
CL ST CRISTOFOL	Carrer de Sant Cristòfol
CL ST DOMENEC	Carrer de Sant Domènec
CL ST FRANCESC PAULA	Carrer de Sant Francesc de Paula
CL ST JORDI	Carrer de Sant Jordi
CL ST JOSEP	Carrer de Sant Josep
CL ST LLATZER	Carrer de Sant Llàtzer
CL ST MIQUEL DELS SANTS	Carrer de Sant Miquel dels Sants
CL SANT PAU DE LA CALÇADA	Carrer de Sant Pau de la Calçada
CL ST PERE	Carrer de Sant Pere
CL ST RAFAEL	Carrer de Sant Rafael
CL ST SIMO	Carrer de Sant Simó
CL STA LLUCIA	Carrer de Santa Llucia
CL STA MARGARIDA	Carrer de Santa Margarida
CL SEBASTIA TRULLOLL	Carrer de Sebastià Trullol
CL SITJA	Carrer de Talc
