CL PERE DELEGLISE	Carrer de Pere Deleglise	OSM
CL POL DE	Carrer de De Pol	OSM
CL POMPEU FABRA	Carrer de Pompeu Fabra	OSM
CL PUIG CADAFALCH	Carrer de Puig i Cadafalch	OSM
CL QUIRZE PLANET	Carrer de Quirze Planet	OSM
CL RAFAEL MASO	Carrer de Rafael Masó	OSM
CL RAFEL CAMPALANS	Carrer de Rafel Campalans	OSM
CL SALVADOR ESPRIU	Carrer de Salvador Espriu	OSM
CL SANT ANTONI	Carrer de Sant Antoni	OSM
CL SANT ANTONI MARIA CLARET	Carrer de Sant Antoni Maria Claret	OSM
CL SANT BENET	Carrer de Sant Benet	OSM
CL SANT CRISTOFOL	Carrer de Sant Cristòfol	OSM
CL SANT IGNASI DE LOYOLA	Carrer de Sant Ignasi	OSM
CL SANT ISCLE DE VALLALTA	Carrer de Sant Iscle de Vallalta	OSM
CL SANT ISIDRE	Carrer de Sant Isidre	OSM
CL SANT JAUME	Carrer de Sant Jaume	OSM
CL SANT JOAN	Carrer de Sant Joan	OSM
CL SANT JOAQUIM	Carrer de Sant Joaquim	OSM
CL SANT JOSEP	Carrer de Sant Josep	OSM
CL SANT JOSEP ORIOL	Carrer de Sant Josep Oriol	OSM
CL SANT MARC	Carrer de Sant Marc	OSM
CL SANT PAU	Carrer de Sant Pau	OSM
CL SANTA ANNA	Carrer de Santa Anna	OSM
CL SANTA BARBARA	Carrer de Santa Bàrbara	OSM
CL SANTA ISABEL	Carrer de Santa Isabel	OSM
CL SANTA LLUCIA	Carrer de Santa Llùcia	OSM
CL SANTIAGO RUSIÑOL	Carrer de Santiago Rusiñol	OSM
CL TOMAS MILANS	Carrer de Tomàs Milans	OSM
CL VALENCIA	Carrer de València	OSM
CL VERDAGUER CALLI	Carrer de Verdaguer i Callís	OSM
CL XARO ALTO	Carrer de Xaro Alt	OSM
CL XARO BAIX	Carrer de Xaró Baix	OSM
CL XESCO BOIX	Carrer de Xesco Boix	OSM
CL ALBA	Carrer de l'Alba	OSM
CL ALCALDE ALEGRET	Carrer de l'Alcalde Alegret	OSM
CL ALCALDE FORS	Carrer de l'Alcalde Fors	OSM
CL EMPORDA	Carrer de l'Empordà	OSM
CL ESGLESIA	Carrer de l'Església	OSM
CL OLIVER	Carrer d’Oliver	OSM
CL COSTA DE L'HOSPITAL	Carrer de la Costa de l'Hospital	OSM
CL CREUETA	Carrer de la Creueta	OSM
CL FONT DE LA	Carrer de la Font	OSM
CL FRAGATA PAULITA	Carrer de la Fragata Paulita	OSM
CL GENERALITAT	Carrer de la Generalitat	OSM
CL MISERICORDIA	Carrer de la Misericòrdia	OSM
CL VGE. DE LA MERCE	Carrer de la Verge de la Mercè	OSM
CL VGE. DE LES NEUS	Carrer de la Verge de les Neus	OSM
