ER EXTRARRADIO	
AG CANTARRANAS	Cantarranas
AG CONEJERAS	Conejera
AG PEDROTORO	Pedro Toro
AG VALDECARPINTERO	Valdecarpinteros
AV AGUSTIN DE FOXA	Avenida Agustín Conde de Foxá
AV ARCACHON(SEC 16.2)	Avenida Arcachón
AV VICENTE DEL BOSQUE	Avenida Vicente del Bosque
AV BEJAR	Avenida de Béjar
AV ESPAÑA	Avenida de España
AV PORTUGAL	Avenida de Portugal
CR SALAMANCA	Avenida de Salamanca
AV YURRAMENDI	Avenida de Yurramendi
AV CONCHA DE LA	Avenida de la Concha
AV CAÑITOS	Avenida de los Cañitos
BO HUERTAS DE PEDROTELLO	Barrio Huertas de Pedrotello
CL 15 DE OCTUBRE	Calle 15 de Octubre
CL ACUEDUCTO (S-21)	Calle Acueducto
CL AGUEDA	Calle Agueda
CL AGUSTIN TRIGUIT	Calle Agustín Triguito
CL ALAMEDA	Calle Alameda
CL ALBENIZ	Calle Albéniz
CL ALEJANDRO III (S-21)	Calle Alejandro III
CL ALFONSO IX	Calle Alfonso IX
CL ALAMO	Calle del Álamo
CL ALONDRA	Calle Alondra
CL ANDRES BRIO	Calle Andrés del Brío
CL ANTONIO MACHADO	Calle Antonio Machado
CL ANTONIO SANCHEZ VILLARES	Calle Antonio Sánchez Villareal
CL ARAPILES	Calle Arapiles
CL ARGAÑAN	Calle Argañán
CL AVENA	Calle Avena
CL AVILA	Calle Avila
CL AZABA	Calle Azaba
CL AZUCENA	Calle Azucena
CL BAILEN	Calle Bailén
CL BAJADA DE SANTA CRUZ	Calle Bajada de Santa Cruz
CL BARRIO NUEVO	Calle Barrio Nuevo
CL LAS BATUECAS	Calle Batuecas
CL BENITO POLO	Calle Benito Polo
CL BENITO SANCHEZ	Calle Benito Sánchez
CL BOMBEROS VOLUNTARIOS	Calle Bomberos Voluntarios
CL BRETON	Calle Bretón
CL BREZOSA	Calle Brezosa
CL BURGOS	Calle Burgos
CL LA BASCULA	Calle Báscula
CL CACERES	Calle Caceres
CL CADIMUS	Calle Cadimus
CL CALDERON BARCA	Calle Calderón de la Barca
CL CALLE 1 LAS VIÑAS II	
CL CALLE 2 LAS VIÑAS II	
CL CALLE 3 LAS VIÑAS II	
CL CALLE 4 LAS VIÑAS II	
CL CALLE 7 LAS VIÑAS II	
CL CALLE 8 LAS VIÑAS II	
CL CALLE 9 LAS VIÑAS II	
CL CALVARIO	Calle Calvario
CL CAMILO JOSE CELA	Calle Camilo José Cela
CL CAMPING	Calle Camping
CL CAMPO FRIO	Calle Campo Frío
CL CAMPO DE AGADONES	Calle Campo de Agadones
CL CAMPO DE CAMACES	Calle Campo de Camaces
CL CAMPO DE ROBLEDO	Calle Campo de Robledo
CL CAMPO TOLEDO	Calle Campo de Toledo
CL CAMPO DE YELTES	Calle Campo de Yeltes
PZ CAMPO DEL POZO	Calle Campo del Pozo
CL CANAL	Calle Canal
CL CARAMBANA	Calle Carambana
CL CARD MINDSZENTY	Calle Cardenal Mindszenty
CL CARDENAL TAVERA	Calle Cardenal Tavera
CL CARIDAD	Calle Caridad
CL CARMELITAS	Calle Carmelitas
CL CAMP CARNICEROS	Calle Carniceros
