DS DISEMINADOS	
AV DE LA DEMOCRACIA	Avenida De La Democracia
AV EUROPA	Avenida Europa
AV FRAY GABRIEL MAGDALENA	Avenida Fray Gabriel de la Magdalena
AV REINA SOFIA	Avenida Reina Sofía Sur
AV REYES CATOLICOS	Avenida Reyes Católicos
AV RIO ALGODOR	Avenida Río Algodor
CL SAN GREGORIO	Avenida de San Gregorio
AV OLMOS	Avenida de los Olmos
AV TOREROS	Avenida de los Toreros
PS BULEVAR C CULTURAL REVUEL	Bulevar Centro Cultural Revuelo
PZ REMEDIOS	Calle  Remedios
CL 12	Calle 12
CL ADOLFO MARSILLACH	Calle Adolfo Marsillach
CL AGUA	Calle Agua
CL AJOFRIN	Calle Ajofrín
CL ALABARDAS DE LA VIRGEN	Calle Alabardas de la Virgen
CL ALBACETE	Calle Albacete
CL ALBAHACA	Calle Albahaca
CL PROL A BENITO	Calle Alberto Benito
CL ALBERTO BENITO	Calle Alberto Benito
CL ALBERTO DURERO	Calle Alberto Durero
CL ALFEREZ DE LA VIRGEN	Calle Alférez de la Virgen
CL ALMERIA	Calle Almería
CL ALONSO ERCILLA	Calle Alonso de Ercilla
CL ALONSO OJEDA	Calle Alonso de Ojeda
CL ALONSO PITA	Calle Alonso de Pita
CL AMIGOS DE LA MUSICA	Calle Amigos de la Música
PZ AMISTAD	Calle Amistad
CL ANTONIO MACHADO	Calle Antonio Machado
CL ANTONIO MORALEDA	Calle Antonio Moraleda
CL ARACILES	Calle Araciles
CL ARISGOTAS	Calle Arisgotas
CL ARRIERA	Calle Arriera
CL ARROYADA	Calle Arroyada
CL 00 ARROYADA	Calle Arroyada
CL ATENAS	Calle Atenas
CL PROL AV TOREROS	Calle Avenida de los Toreros
CL AZALEA	Calle Azalea
CL CALENDULA	Calle Azalea
CL AZUCENA	Calle Azucena
CL BAILEN	Calle Bailén
CL BALLESTA	Calle Ballesta
CL BANDERA DE LA VIRGEN	Calle Bandera de la Virgen
CL BELGRADO	Calle Belgrado
CL BELEN	Calle Belén
CL BERLIN	Calle Berlín
CL BERNA	Calle Berna
CL BERRUGUETE	Calle Berruguete
CL BOLIVIA	Calle Bolivia
CL BRUSELAS	Calle Bruselas
CL BUCAREST	Calle Bucarest
CL BUENOS AIRES	Calle Buenos Aires
CL BUGANVILLA	Calle Buganvilla
CL BURGUILLOS	Calle Burguillos
CL CADIZ	Calle Cadiz
CL CALVARIO	Calle Calvario
CL CANDELARIA	Calle Candelaria
CL CARDENAL CISNEROS	Calle Cardenal Cisneros
CL CASALGORDO	Calle Casalgordo
CL CASTAÑAR	Calle Castañar
CL CASTILLA LA MANCHA	Calle Castilla - La Mancha
CL SANTA MARIA	Calle Castilla - La Mancha
CL PROL CASTILLA LA MANCHA	Calle Castilla - La Mancha
CL CEMENTERIO	Calle Cementerio
CL CERRADA	Calle Cerrada
CL CERVANTES	Calle Cervantes
CL CHORRERA	Calle Chorrera
CL CID	Calle Cid
CL CIUDAD REAL	Calle Ciudad Real
CL CLARA CAMPOAMOR	Calle Clara Campoamor
CL CLAVILEÑO	Calle Clavileño
CL COBISA	Calle Cobisa
CL COLMENARITO	Calle Colmenarito
