DS DISEMINADO	
AV AGUILA - ALTAVISTA	Avenida Aguila - Altavista
CL BATALLA DE BAILEN	Avenida Batalla de Bailén
AV JUAN CARLOS I	Avenida Juan Carlos I
AV PARDO SANTALLANA	Avenida Pardo de Santallana
AV HONORIO LOZANO	Avenida de Honorio Lozano
AV ERAS, LAS	Avenida de las Eras
CL 29 DE OCTUBRE	Calle 29 de Octubre
CL ABEDUL	Calle Abedul
CL ADELFAS	Calle Adelfas
CL ALBERCA	Calle Alberca
CL ALEGRIA	Calle Alegría
CL ALMAZARA	Calle Almazara
CL ALMENDROS	Calle Almendros
CL ALMIAR	Calle Almiar
CL ALONDRA	Calle Alondra
CL ALPEDRETE	Calle Alpedrete
CL ALQUERIA	Calle Alquería
CL AMAPOLAS	Calle Amapolas
CL ANACLETO LOPEZ	Calle Anacleto López
CL ANDALUCIA	Calle Andalucía
CL A FERNANDEZ MARIA	Calle Antonio Fernández María
CL ANTONIO VARELA	Calle Antonio Varela
CL ARAGON	Calle Aragón
CL ARGA	Calle Arga
CL ARROYO DE LA FUENFRIA	Calle Arroyo de la Fuenfría
CL ARROYO DEL OSEA	Calle Arroyo del Osea
CL ASTURIAS	Calle Asturias
CL AZOR - ALTAVISTA	Calle Azor
CL BALEARES	Calle Baleares
CL BARTOLOME PEREZ CASAS	Calle Bartolomé Pérez Casas
CL BOALO	Calle Boalo
CL BOLA DEL MUNDO	Calle Bola del Mundo
CL BURIL	Calle Buril
CL CACERA DE LA VILLA	Calle Cacera de la Villa
CL CALIBRE	Calle Calibre
CL CALLEJA OSCURA	Calle Calleja Oscura
CL CAMELIAS	Calle Camelias
CL CANARIAS	Calle Canarias
CL CANCHA DE LOS FRESNOS	Calle Cancha de los Fresnos
CL CANTARRANAS	Calle Cantarranas
CL CANTO ASTIAL	Calle Canto Astial
CL CANTO GORDO	Calle Canto Gordo
CL CANTOS ALTOS	Calle Cantos Altos
CL CAPITAN CORTES	Calle Capitán Cortés
CL CARLOS RUIZ	Calle Carlos Ruiz
CL CARMEN	Calle Carmen
CL CASTILLA	Calle Castilla
CL CASTILLA LA NUEVA	Calle Castilla la Nueva
CL CAÑADA REAL	Calle Cañada Real
CL CAÑO VIEJO	Calle Caño Viejo
CL CENTRAL	Calle Central
CL CERCEDA	Calle Cerceda
CL CERCEDILLA	Calle Cercedilla
CL CERRILLO	Calle Cerrillo
CL CERRO TELEGRAFO	Calle Cerro del Telégrafo
CL CERROS DE NAVALCON	Calle Cerros de Navalcón
CL CERVANTES	Calle Cervantes
CL CHARCA DE LA PEÑA	Calle Charca de la Peña
CL CIPRIANO SEVILLANO	Calle Cipriano Sevillano
CL CISNE	Calle Cisne
CL CLARA CAMPOAMOR	Calle Clara Campoamor
CL CLAVELES	Calle Claveles
CL CONCEJO	Calle Concejo
CL CORDEL DE VALLADOLID	Calle Cordel de Valladolid
CL COSTA AZUL	Calle Costa Azul
CL COSTA BLANCA	Calle Costa Blanca
CL COSTA BRAVA	Calle Costa Brava
CL COSTA VERDE	Calle Costa Verde
CL COSTA DEL SOL	Calle Costa del Sol
CL CRUZ	Calle Cruz
CL CRUZ ROJA	Calle Cruz Roja
CL DARRO	Calle Darro
CL DESTORNILLADOR	Calle Destornillador
CL DOCTOR JOSE MA POVEDA	Calle Doctor José María Poveda
CL DOS HERMANAS	Calle Dos Hermanas
CL PERDON EL	Calle El Perdón
CL ROMERAL	Calle El Romeral
CL SOL	Calle El Sol
CL ELADIO ARANDA	Calle Eladio Aranda
CL EMBARCADERO	Calle Embarcadero
CL EMILIA PARDO BAZAN	Calle Emilia Pardo Bazán
CL ENRIQUE ORTEGA	Calle Enrique Ortega
CL ENTREVIAS	Calle Entrevías
CL ESCALINATA	Calle Escalinata
CL ESCOFINA	Calle Escofina
CL ESGUEVA	Calle Esgueva
CL ESPINAREJO	Calle Espinarejo
CL ESTAÑO	Calle Estaño
CL EUFEMIA HERRANZ	Calle Eufemia Herranz
CL FEDERICA MONTSENY	Calle Federica Montseny
