DS CEBADILLOS	
DS PRESA LOS ARROYOS	
DS VALDECARROS	
DS DISEMINADO	
AV ARBOLEDA	Avenida Arboleda
AV MANUEL MORATIEL IVAN	Avenida Manuel Moratiel Ibán
AV REYES CATOLICOS	Avenida Reyes Católicos
AV CASTILLA	Avenida de Castilla
AV FELIPE II	Avenida de Felipe II
AV CONSTITUCION	Avenida de la Constitución
AV FRESNEDA	Avenida de la Fresneda
AV CIERROS	Avenida de los Cierros
BO CRUZ	Barrio Cruz
CL AGUILA	Calle del Águila
CL ALAMEDA	Calle Alameda
CL ALFOLI	Calle Alfolí
CL ALFONSO XIII	Calle Alfonso XIII
CL ALONDRA	Calle Alondra
CL AMAPOLAS DE LAS	Calle Amapolas
CL ANDRES ALMAGUER	Calle Andrés Almaguer
CL ARIAS MONTANO	Calle Arias Montano
CL ARROYO DE LAVAR	Calle Arroyo de Lavar
CL ARTISTAS	Calle Artistas
CL ATALAYA	Calle Atalaya
CL AULENCIA	Calle Aulencia
CL BALTASAR PORREÑO	Calle Baltasar Porreño
CL BERNABE AVILA	Calle Bernabé Ávila
CL AVILA	Calle Ávila
CL BILBAO	Calle Bilbao
CL CADIZ	Calle Cádiz
CL BUENAVENTURA MADRIGAL	Calle Buenaventura Madrigal
CL CALVARIO	Calle Calvario
CL CAMINO VIEJO	Calle Camino Viejo
CL CARDENAL CISNEROS	Calle Cardenal Cisneros
CL CARMEN CABEZUELO	Calle Carmen Cabezuelo
CL CASTELLANA	Calle Castellana
CL CATORCE	Calle Catorce
CL CIGÜEÑA	Calle Cigüeña
CL CINCO	Calle Cinco
CL CIPRIANO HERRAN	Calle Cipriano Herrán
CL CLAVEL DEL	Calle Clavel
CL COLON	Calle Colón
CL CONCHA NUÑEZ	Calle Concha Núñez
CL CONDE CHINCHON	Calle Conde de Chinchón
CL CUATRO	Calle Cuatro
CL CORDOBA	Calle Córdoba
CL DAOIZ VELARDE	Calle Daoíz y Velarde
CL DIECINUEVE	Calle Diecinueve
CL DIECIOCHO	Calle Dieciocho
CL DIECISEIS	Calle Dieciseis
CL DIECISIETE	Calle Diecisiete
CL DIEZ	Calle Diez
CL DOCE	Calle Doce
CL DOS	Calle Dos
CL GRECO EL	Calle El Greco
CL ENEBRO	Calle Enebro
CL ERAS	Calle Eras
CL FEDERICO FLIEDNER	Calle Federico Fieldner
CL FELIPE IV	Calle Felipe IV
CL FELIPE V	Calle Felipe V
CL FERNANDO ALVAREZ	Calle de Fernando Álvarez
CL FERNANDO VI	Calle Fernando VI
CL FERNANDO VII	Calle Fernando VII
CL FRAGUAS	Calle Fraguas
CL FRANCISCO MORA	Calle Francisco Mora
CL FRANCISCO VALIÑO	Calle Francisco Valiño
CL FRAY JUAN DE SAN JERONIMO	Calle Fray Juan de San Jerónimo
CL FRESNO	Calle Fresno
CL GALARZA	Calle Galarza
CL GAVIOTA	Calle Gaviota
CL GOLONDRINA	Calle Golondrina
CL GRANADA	Calle Granada
CL GUADIANA	Calle Guadiana
CL GOMEZ CAMPO	Calle Gómez del Campo
