ER EXTRARRADIO	
AV SALAMANCA	Avenida de Salamanca
CL AMAPOLA	Calle Amapolas
CL ANTONIO MACHADO	Calle Antonio Machado
CL CABUERCO	Calle Cabuerco
CM SANTIAGUILLO	Calle Camino Santiaguillo
CL CLAVEL	Calle Clavel
CL CORTA	Calle Corta
CL FEDERICO GARCIA LORCA	Calle García Lorca
CL HORNO	Calle Horno
CL HUERTILLO	Calle Huertillo
CL LA CRUZ	Calle La Cruz
CL LARGA	Calle Larga
CL ALAMOS	Calle Los Baldíos
CL ROMPIOS	Calle Los Rompíos
CL PEDRARIAS	Calle Pedrarías
CL REFUGIO	Calle Refugio
CL REGATO	Calle Regato
CL MARGARITAS	Calle Margaritas
CL ROSA	Calle Rosas
CL S.A.U.1	
CL S.A.U.2	
CL S.A.U.3	
CL SANTIAGO APOSTOL	Calle Santiago Apóstol
CL TRAVESIA PRIMERA	Calle Travesia Primera
CL TRAVESIA SEGUNDA	Calle Travesia Segunda
CL TRAVESIA TERCERA	Calle Travesía Tercera
CL TRAVIESA	Calle Traviesa
CL VEREDA	Calle Vereda
CL VIOLETA	Calle Violeta
CL VALDIOS	Calle Álamos
CM ALDEARRUBIA	Camino de Aldearrubia
LG PALOMAR	Lugar Palomar
LG LA FUENTE	Lugar la Fuente
PZ SAN JUAN BAUTISTA	Plaza de San Juan Bautista
PZ CONSTITUCION DE LA	Plaza de la Constitución
PB EL ALCOR	Urbanización El Alcor
