ER EXTRARRADIO	
CL CABILDO	Calle Cabildo
CL CANTARRANAS	Calle Cantarranas
CL RONDA	Calle Cantarranas
CL CARRETERA	Calle Carretera
CL CEBOLLERA	Calle Cebollera
CL CORREDERA FRAGU	Calle Corredera de la Fragua
CL CORRILLO	Calle Corrillo
CL CUATRO ESQUINAS	Calle Cuatro Esquinas
CL DON RODRIGO	Calle Don Rodrigo
CL ESCUELAS	Calle Escuelas
CL MAYOR DIVISORIA	Calle Mayor Divisoria
CL MAYOR	Calle Mayor Divisoria
CL PRADILLO	Calle Pradillo
CL PRIMO RIVERA	Calle Primo Rivera
CL SAN JUAN	Calle San Juan
CR SAHAGUN	Carretera/Carrera Sahagun
PZ MAYOR	Plaza Mayor
