DS VALDEMALATO	
DS MONTE EL	
DS LUMINARIAS LAS	
DS VIÑAS LAS	
DS FONTANICA LA	
ER EXTRARRADIO	
DS PELLEJONAS	
DS CHOPERAS LAS	
DS VEGAS TRASERAS	
DS CORRALA LA	
DS SAUCES, LOS	
DS PRADO CABRERO	
DS BARCERAS LAS	
DS FUENTECILLAS	
AV EDIMBURGO, DE	Avenida Edimburgo
AV FONTANA, DE LA	Avenida Fontana
AV PADRES PAULES	Avenida Padres Paules
AV DE EL PIREO-UR ATYKA	Avenida Pireo
AV PRADO VALDELAGUA	Avenida Prado Valdelagua
AV VIRGEN DE LAS NIEVES	Avenida Virgen de las Nieves
AV ALDEBARAN	Avenida de Aldebarán
AV ANTONIO MACHADO	Avenida de Antonio Machado
AV ASTURIAS	Avenida de Asturias
AV BURGOS	Avenida de Burgos
AV MAROSAN	Avenida de Marosan
AV PRADO POCITO	Avenida de Prado Pocito
AV SALAMANCA	Avenida de Salamanca
AV SEGOVIA	Avenida de Segovia
AV SORIA	Avenida de Soria
AV VALLADOLID	Avenida de Valladolid
AV ZAMORA	Avenida de Zamora
CR MADRID	Avenida de la Carretera de Madrid
AV CONSTITUCION	Avenida de la Constitución
AV SERNA	Avenida de la Serna
AV SERNA, DE LA	Avenida de la Serna
AV ESTRELLAS	Avenida de las Estrellas
AV PROFESOR ENRIQUE TIERNO G	Avenida del Profesor Enrique Tierno Galván
CL A	Calle A
CL AGUILA	Calle del Águila
CL ALBERTO FERNANDEZ	Calle Alberto Fernández
CL ALONDRAS	Calle Alondras
CL AREA PR.1-CL VIARIO Nº 8	
CL AREA PROBLEMA Nº 16-CL II	
CL BADEN-BADEN	Calle Baden-Baden
CL BARBO	Calle Barbo
CL BOLONIA	Calle Bolonia
CL BUENAVISTA	Calle Buenavista
CL CAP GRAL GUTIERREZ MELLAD	Calle Capitán General Gutiérrez Mellado
CL CARLOS III	Calle Carlos III
CL CARPA	Calle Carpa
CL CASTOR	Calle Castor
CL CAÑAMARES	Calle Cañamares
CL CIUDAD DE LEON	Calle Ciudad de León
CL CIUDAD DE AVILA	Calle Ciudad de Ávila
CL COIMBRA	Calle Coimbra
CL COMERCIO	Calle Comercio
CL CONFUSION	Calle Confusión
CL CORINTO-UR ATYKA	Calle Corinto
CL CORTA	Calle Corta
CL COVISAMAR	Calle Covisamar
CL CANDIDO VERDEJO	Calle Cándido Verdejo
CL CONDOR	Calle Cóndor
CL DELFOS-UR ATYKA	Calle Delfos
CL TORRES VILLARROEL	Calle Doctor Torres Villarroel
CL DOLORES IBARRURI	Calle Dolores Ibárruri
CL DON CRISTOBAL	Calle Don Cristóbal
CL SAN JOSE	Calle de San José
CL DOÑA ELOYA	Calle Doña Eloya
AV ENRIQUE DE SENA	Calle Enrique de Sena
CL ESPARTA-UR ATYKA	Calle Esparta
CL ESTORIL	Calle Estoril
CL CASCAIS	Calle Cascais
CL ESTRECHA	Calle Estrecha
CL FERRARA	Calle Ferrara
CL FLORENCIA	Calle Florencia
CL FRAGUA	Calle Fragua
CL FRANCISCO MALDONADO	Calle Francisco Maldonado
CL FRAY LUIS DE LEON	Calle Fray Luis de León
CL FELIX RDGUEZ DE LA FUENTE	Calle Félix Rodríguez de la Fuente
CL FELIX DE MONTEMAR	Calle Félix de Montemar
CL GABRIEL Y GALAN	Calle Gabriel y Galán
CL GARCIA LORCA	Calle García Lorca
CL GLORIA FUERTES	Calle Gloria Fuertes
CL GOLONDRINAS	Calle de las Golondrinas
CL GONZALO TORRENTE BALLESTE	Calle Gonzalo Torrente Ballester
CL GOYA	Calle Goya
CL GUTIERREZ	Calle Gutiérrez
CL HEREDEROS LOPEZ	Calle Herederos López
CL HERMANOS GRIMM	Calle Hermanos Grimm
CL IGLESIA	Calle de la Iglesia
CL PADRE IGNACIO ELLACURIA	Calle Ignacio Ellacuría
CL PRINCESA CRISTINA	Calle Infanta Cristina
CL JUAN BRAVO _(URB NIEVES)	Calle Juan Bravo
CL JUAN CARLOS I	Calle Juan Carlos I
CL JUAN PADILLA	Calle Juan Padilla
CL JULIAN BESTEIRO	Calle Julián Besteiro
CL JULIAN SANCHEZ EL CHARRO	Calle Julián Sánchez el Charro
CL LA HAYA	Calle La Haya
CL JULIANA	Calle La Juliana
CL LAGO	Calle Lago
CL LAZARILLO DE TORMES	Calle Lazarillo de Tormes
CL LUMINARIAS	Calle Luminarias
CL LIRA	Calle Lyra
CL MARCOS ESCRIBAN	Calle Marcos Escribano
CL MARIA LA BRAVA	Calle María la Brava
CL MARRUECOS	Calle Marruecos
CL MICENAS-UR ATYKA	Calle Micenas
CL MIGUEL DELIBES	Calle Miguel Delibes
CL MIGUEL DE CERVANTES	Calle Miguel de Cervantes
CL MIGUEL UNAMUNO	Calle Miguel de Unamuno
CL MINISTRO FERNANDEZ ORDOÑE	Calle Ministro Fernández Ordóñez
CL MIZAR	Calle Mizar
