DS FINCA CONGOSTO	
DS FINCA EL TORIL	
DS ROSALES LOS	
DS FINCA SOBREPEÑA	
DS FINCA CERRILLO	
DS HONTANAR	
DS ZONA CERRILLOS	
DS FINCA CAÑALES	
DS CM TARAPIELLA	
DS MATAMORAS	
DS FINCA CANCHAS	
DS FINCA LA MONJA	
DS FINCA CHAVOLA	
DS MIRASOL	
DS CERCA VADOVIEJO	
DS FN S JOSE NAVAZ	
DS DEHESILLA LA	
DS CASA LA ESCUELA	
DS CERCA DEL CERRO	
DS FUENTE PUERCO	
DS URANO	
DS TEJONERAS LAS	
DS COLUMNAS LAS	
DS DISEMINADO	
DS FINCA PERALEDA	
DS CERCA MONJA	
DS PRESA LAS NIEVES	
DS CASA N CERRILLO	
DS VILLASOLITA	
DS CERRO AIRE	
DS CASA CERROLEN	
DS TORRECILLA	
DS SAUDADES	
DS CASA VINATEA	
DS FRESNOS LOS	
DS FINCA RODESIA	
DS PUENTE RETAMAR	
DS CASA REGADERA	
AV SALTOS DEL SIL	Avenida Saltos del Sil
AV VICTIMAS DEL TERRORISMO	Avenida Víctimas del Terrorismo
AV BOHEMIA DE	Avenida de Bohemia
AV NORMANDIA DE	Avenida de Normandía
AV OPORTO	Avenida de Oporto
AV PORTUGAL DE	Avenida de Portugal
AV SAJONIA	Avenida de Sajonia
AV SICILIA	Avenida de Sicilia
AV TOSCANA	Avenida de Toscana
AV TOSCANA PQLAGOS	Avenida de Toscana
AV DE LOS VOLUNTARIOS	Avenida de los Voluntarios
CL ABELLAN CUESTA	Calle Eulalia Cuesta
CL AFLUENTE DEL	Calle del Afluente
CL AGUACATE DEL	Calle Aguacate
CL AGUAMARINA	Calle Aguamarina
CL AHIJON	Calle Tomillar
CL ALBACETE DE	Calle Albacete
CL ALBARES	Calle Albares
CL ALBATROS	Calle Albatros
CL ALCOTAN DEL	Calle Alcotán
CL ALCUDIA DE	Calle Alcudia
CL ALICANTE DE	Calle Alicante
CL ALMERIA	Calle Almeria
CL AGATA	Calle Ágata
CL AMATISTA	Calle Amatista
CL AMUNAR	Calle Amunar
CL ANA MARIA MATUTE	Calle Ana María Matute
CL ANDALUCIA	Calle Andalucía
CL ARANJUEZ DE	Calle Aranjuez
CL ARAUCARIAS	Calle Araucarias
CL ARCO DEL	Calle Arco
CL ARGENTITA	Calle Argentita
CL ARISTOTELES DE	Calle Aristóteles
CL ARQUIMEDES DE	Calle Arquímedes
