ER EXTRARRADIO	
CL ANGEL	Calle del Ángel
CL ARIAS GARCIA	Calle Arias García
CM BABILAFUENTE	Calle Camino de Babilafuente
CL CAMINO DE LA ACEÑA	Calle Camino de la Aceña
CL CANTERAS	Calle Canteras
CL ESCUELAS	Calle Escuelas
CL GMO FRANCO	Calle de los Mesones
CL PEGUERO	Calle Pegüero
CL PP UR-2	Calle Arias García
CL REGALIZA	Calle Regaliza
CL SALAS POMBO	Calle Camino de la Aceña
CL UNAMUNO	Calle de Miguel de Unamuno
CL SALAMANCA	Calle de Salamanca
CL IGLESIA	Calle de la Iglesia
CL ROSA	Calle de la Rosa
CL MESONES	Calle de los Mesones
CL AYUNTAMIENTO	Calle del Ayuntamiento
CL BOLEO	Calle del Boleo
CL CORDERO	Calle del Cordero
CL LODO	Calle del Lodo
CL MAESTRO D. TORIBIO SIERRA	Calle del Maestro Don Toribio Sierra
CL RIO	Calle del Río
CL SOL	Calle del Sol
CL CALLEJON	Calle el Callejón
CL RINCON	Calle el Rincón
CL ERAS	Calle las Eras
CM ENCINAS	Camino de Encinas
CR ENCINAS-MADRID	Carretera Encinas-Madrid
CR SANTA MARTA	Carretera Santa Marta
CL PASEO DEL TORMES	Paseo del Tormes
PZ MEDIODIA	Plaza Mediodía
TR CANTERAS	Travesía Canteras
