ER EXTRARRADIO	
CL AFUERAS	Calle Afueras
CL ARENAL	
CL ARROYO	Calle Arroyo
CL CALLEJA CORRILLO	Calleja del Corrillo
CL CARRASCAL	Calle Carrascal
CL CONDE DE ELDA	Calle Conde de Elda
CL CORRILLO	Calle Corrillo
CL CRUZ DE SANTIAGO	Calle Cruz de Santiago
CL HIDALGOS	Calle Hidalgos
CL LAGUNA	Calle La Laguna
CL MARQUESA DE NULES	Calle Marqués de Nules
CL MARQUESA DE VILLATORCAS	Calle Marqués de Villatorcas
CL MARTINBAÑEZ	Calle Martibáñez
CL MOLINO	Calle Molino
CL PIZARRA, LA	Calle la Pizarra
CL POZO VELLES	Calle Pozo Velles
CL QUIÑONES	Calle Quiñones
CL RONDA EXTERIOR	Ronda Norte
CL RUTA DE LA PLATA	Calle Ruta de la Plata
CL SAN MARCOS	Calle San Marcos
CL SECTOR U. UR-6	
CL SECTOR U. UR-7	
CL TERESA HERRERO	Calle Teresa Herrero
CL SANTA ELENA	Calle de Santa Elena
CL ZAMORA	Calle de Zamora
CL CARIDAD	Calle de la Caridad
CL CENA, DE LA	Calle de la Cena
CL CILLA	Calle de la Cilla
CL IGLESIA	Calle de la Iglesia
CL MUSICA	Calle de la Música
CL ESCUELAS	Calle de las Escuelas
CL MERINOS, DE LOS	Calle de los Merinos
CL POZO CAMPO	Calle del Pozo del Campo
CL MILIARIOS	Calle del los Milagros
CL ERAS	Calle las Eras
CR FORFOLEDA	Carretera Forfoleda
CR ZAMORA	Carretera de Zamora
PZ CRISTOBAL RIESCO	Plaza Cristóbal Riesco
PZ CORRILLO	Plaza El Corrillo
PZ SANTIAGO	Plaza de Santiago
PZ CONSTITUCION	Plaza de la Constitución
RD SAN MARCOS	Ronda San Marcos
