DS SAN ROQUE ERAS	
DS DISEMINADOS	
AV CASTELLFORT	Avinguda de Castellfort
AV CASTELLON	Avinguda de Castelló
AV LOSAR	Avinguda del Llosar
CL ARRABAL	Carrer del Raval
CL B	Carrer B
CL CINCTORRES	Carrer de Cinctorres
CL D J G NOBLEJAS	Carrer D J G Noblejas
CL D JOSE M BABE	Carrer D Jose M Babe
CL ESCUELAS	Carrer de les Escoles
CL FUENTE	Carrer de la Font
CL G	Carrer G
CL I	Carrer I
CL IGLESUELA DEL CID	Carrer d'Iglesuela del Cid
CL PEIRO ESCALA PROLONG	Carrer Peiro Escala Prolong
CL PROYECTO 3	
CL PROYECTO 30	
CL SALVADOR Y BENEDICTO	Carrer de Salvador i Benedicto
CL TRASERA CARRER NOU	Carrer Trasera Carrer Nou
CM FOS LA	Camí la Fos
CL SANTS ABDO I SENEN	Carrer d'Abdó i Senent
CL ALCALDE MONFORT	Carrer de l'Alcalde Monfort
CL L'ALT MAESTRAT	Carrer de l'Alt Maestrat
CL ARES	Carrer d'Ares
CL BAIX MAESTRAT	Carrer del Baix Maestrat
CL BENASAL	Carrer de Benassal
CL BERNAT SERRA	Carrer de Bernat Serra
CL SANT PERE	Carrer Caletxa de Sant Pere
CL ERAS CEMENTERIO VIEJO	Carrer del Cementeri Vell
CL ERAS CEMENTERIO	Carrer del Cementeri
CL CID	Carrer del Cid
CL CINE	Carrer del Cine
CL COLON	Carrer de Colom
CL COVES DEL FORCALL	Carrer de les Coves de Forcall
CL CULLA	Carrer de Culla
CL DR MANUEL PALOMO	Carrer del Doctor Manuel Palomo
CL EXPLORADOR ANDRES	Carrer de l'Explorador Andrés
CL FONT D'HORTA	Carrer Font d'Horta
CL FONT DEL TRABUC	Carrer de la Font del Trabuc
CL FORCALL	Carrer de Forcall
CL INDEPENDENCIA	Carrer de la Independència
CL MAGDALENA	Carrer Magdalena
CL MAYOR	Carrer Major
CL MALLADES	Carrer de les Mallades
CL MASED	Carrer Maset
CL MIRALLES DEL CARRO	Carrer Miralles del Carro
CL MORELLA	Carrer de Morella
CL CARRER NOU	Carrer Nou
CL OROPESA	Carrer d'Oropesa
CL PALOMITA	Carrer Palomita
CL PEIRO ESCALA	Carrer de Peiró Escala
CL PICAYO	Carrer Picaio
CL PILAR	Carrer Pilar
CL PLANA ALTA	Carrer de la Plana Alta
CL PLANA BAIXA	Carrer de la Plana Baixa
CL PORTELL	Carrer de Portell
CL REVER JUAN PUIG	Carrer del Reverend Joan Puig
CL RIU DE LES TRUITES	Carrer del Riu de les Truites
CL SAGDO CORAZON	Carrer del Sagrat Cor
CL SANT BLAI	Carrer de Sant Blai
CL SANT ISIDRE	Carrer de Sant Isidre
CL SAN JOSE	Carrer de Sant Josep
CL SAN MIGUEL	Carrer de Sant Miguel
CL SANT ONOFRE	Carrer de Sant Onofre
CL SAN ROQUE	Carrer de Sant Roc
CL SANTA BARBARA	Carrer de Santa Bàrbara
CL SANTA LUCIA	Carrer de Santa Llúcia
CL SANTA TERESA	Carrer de Santa Teresa
CL SERRA BRUSCA	Carrer de la Serra Brusca
CL SIERRA NEGRA	Carrer de la Serra Negra
CL SERRA NEGRA	Carrer de la Serra Negra
CL SERRITO, EL	Carrer de Serrito
CL TANCADES	Carrer Tancades
CL TODOLELLA	Carrer de la Todolella
CL TORRETA	Carrer de Torreta
CL TRINQUET	Carrer del Trinquet
CL VALENTIN MONTOLIU	Carrer de Valentí Montoliu
CL VICENTE BLASCO IBAÑEZ	Carrer de Vicente Blasco Ibañez
CL VILLORES	Carrer de Villores
CL D'EN PONS	Carrer d'En Pons
CL J BAUT PEÑARROYA	Carrer de Joan Baptista Penyarroja
CL J PABLO CLIMENT	Carrer de Joan Pau Climent
CL ABADIA	Carrer de l'Abadia
CL ELS ESPORTS	Carrer de l'Esport
CL CORTS VALENCIANES	Carrer de les Corts Valencianes
CL SOL	Carrer del Sol
CL BASSA LA	Carrer de la Bassa
CR IGLESUELA	Carretera d'Iglesuela
CT ERAS	Carrer Costera de les Eres
CT FALCO	Costa Falcó
GR FRANCOLI	Grup Francolí
MS ARMELES	
MS ARRIELLO	
MS AZNAR	
MS BAIX	
MS BLAYA	
MS CANTAL FORADAT	
MS CAPESTANY	
MS CARRASCA	
MS CAÑADA	
MS COCHERA TELE	
MS CODER	
MS COLAU	
MS COLOM	
MS CURRA	
MS CURRO	
MS ESCOLANO	
MS FAYO	
MS GRACIA	
MS GRASIETA	
MS LEON	
MS LLESCA	
MS LLOVET	
MS LOSAR	
MS MARINA	
MS MOLINO PITARCH	
MS MOLLATS	
MS MONSERRAT	
MS PARRETA	
MS PATIRAS	
MS PAU	
MS PINAR	
MS PITARCH	
MS RAMON	
MS RANES	Mas de les Ranes
MS ROURES	
MS SAN MIGUEL DE LA PUEBLA	Mas de la Pobla de Sant Miquel
MS SERRO	Mas del Cerro
MS SINGLES	
MS TEJERIA	
MS TENA	Masías Tena
MS TORRE FIGUERA	
MS TORRE FONSO	
MS TORRE LEANDRA	
MS TORRE NOVA	
MS TOSCA ABAJO	
MS TOSCA ARRIBA	
MS VENT	
MS VERGA	
PD DEHESA LA	Partida de la Dehesa
PD MOLETA LA	Partida de la Moleta
PD PLA BAIX	Partida Pla Baix
PD SAN PEDRO	Partida San Pedro
PD TANCADES	Partida Tancades
PZ D J IBAÑEZ MART	Plaça D J Ibañez Mart
PZ PEIRO ESCALA	Plaça Peiró Escala
PZ DON BLASCO	Plaça d'en Blasc
CL BAJO PLAZA	Plaça de Baix
PZ IGLESIA	Plaça de l'Església
PZ HIST. ANTONIO MONFORT	Plaça de l'Historiador Antoni Monfort
PZ PORTS DELS	Plaça dels Ports
PL POLIGONO 13	
PL POLIGONO 22	
PL POLIGONO 4	
PL POLIGONO 9	
TR MALLADES 1	
TR MALLADES 2	
TR MALLADES 3	
