DS FRACCIONADOS	
DS DISEMINADOS	
DS FINCA MONTEPANARRAS	
DS FINCA CANTOS NEGROS	
DS FRACCIONADOS BERZOSILLA	
DS FINCA LA ESPUMA	
AV CANTO DEL MIRADOR	Avenida Canto del Mirador
AV CASTILLO OLIVARES	Avenida Castillo de Olivares
CL FONDO DEL TOMILLAR	Avenida Fondo del Tomillar
AV TRANSVERSAL	Avenida Transversal
AV CIRILO TORNOS	Avenida de Cirilo Tornos
CL ENRIQUE RUIZ GOMEZ	Avenida de Enrique Ruiz Gómez
CL GABRIEL E. DE LA ORDEN	Avenida de Gabriel Enríquez de la Orden
AV JUAN PABLO II DE	Avenida de Juan Pablo II
AV JUAN DE VARGAS	Avenida de Juan de Vargas
AV ROZAS DE LAS	Avenida de Las Rozas
AV PRADOGRANDE	Avenida de Pradogrande
AV ROSARIO MANZANEQUE	Avenida de Rosario Manzaneque
AV TORRELODONES	Avenida de Torrelodones
AV BERZOSILLA DE LA	Avenida de la Berzosilla
AV COMUNIDAD DE MADRID	Avenida de la Comunidad de Madrid
AV DEHESA LA	Avenida de la Dehesa
AV FONTANILLA DE LA	Avenida de la Fontanilla
AV LOMA DE LA	Avenida de la Loma
AV ROZUELAS DE LAS	Avenida de las Rozuelas
AV PEÑASCALES DE LOS	Avenida de los Peñascales
AV PINARES	Avenida de los Pinares
AV ROBLES DE LOS	Avenida de los Robles
AV ARROYO DE TROFAS	Avenida del Arroyo de Trofas
AV CONDE DE LAS ALMENAS	Avenida del Conde de las Almenas
AV DOCTOR BEDOYA	Avenida del Doctor Bedoya
AV ESCONDITE	Avenida del Escondite
AV HITO DEL	Avenida del Hito
AV LAGO	Avenida del Lago
AV MONTE	Avenida del Monte
AV PARDO DEL	Avenida del Pardo
AV PEÑALAR DEL	Avenida del Peñalar
AV PEÑASCO	Avenida del Peñasco
AV RODEO DEL	Avenida del Rodeo
AV TOMILLAR	Avenida del Tomillar
CL ABEJARUCO	Calle Abejaruco
CL ALAMO	Calle Álamo
CL ABETO	Calle Abeto
CL ADELFAS	Calle Adelfa
CL ALBAHACA	Calle Albahaca
CL AMPARO CANTERO	Calle Amparo Cantero
CL ANGEL ESCOLANO DIEZ	Calle Ángel Escolano Díez
CL ANGEL QUIROGA BRAVO	
CL ANGEL YAGUE	Calle de Ángel Yagüe
CL ANGEL DE ANTONIO MARTIN	
CL ANTONIO MAURA	Calle Antonio Maura
CL ANTONIO MUÑOZ MANZANEQUE	Calle Antonio Muñoz Manzaneque
CL ANTONIO SANCHEZ	Calle Antonio Sánchez
CL ARQUITECTO A. SAN ROMAN	Calle Arquitecto A. San Román
CL ARROYO DEL CORONEL	Calle Arroyo del Coronel
CL ARROYO DEL PIOJO	Calle Arroyo del Piojo
CL ARTURO PACIOS	Calle Arturo Pacios
CL ASPERILLAS	Calle Asperillas
CL BAJA	Calle Baja
CL CAÑADA	Calle Barrio de la Cañada
CL BOTICARIOS	Calle Boticarios
CL BREZO	Calle Brezo
CL BUENAVISTA	Calle Buenavista
CL CAMINO DE VALLADOLID	Calle Camino de Valladolid
CL CAMINO DE LOS BONETES	Calle Camino de los Bonetes
CL CANTO DE LA CUEVA	Calle Canto de la Cueva
CL CANTO DEL PICO	Calle Canto del Pico
CL CARLOS PICABEA	Calle Carlos Picabea
CL CARMEN QUINTANO	Calle Carmen Quintano
CL CARNICERIA	Calle Carnicería
CL CELINDAS	Calle Celindas
CL CIENCIAS DE LAS	Calle de las Ciencias
CL CINCO	Calle Cinco
CL CLAVEL	Calle Clavel
CL CONSTANTINO BENITO	Calle Constantino Benito
CL CORDEL NTRA SRA DE CARMEN	
CM CORDEL DE HOYO MANZANARES	Calle Cordel de Hoyo de Manzanares
CL DANIEL JIMENEZ	Calle Daniel Jiménez
