000300100QA71D	000300100QA71D
11007A00100300	11007A00100070
11007A00100302	000701700TF21B
11007A00100303	000701700TF21B
11007A00100304	000701700TF21B
11007A00100305	11007A00100070
11007A00100306	000701700TF21B
11007A00100307	000701700TF21B
11007A00100310	11007A00100070
11007A00100311	11007A00100002
11007A00100314	7007401TF2170N
11007A00100315	11007A00100032
11007A00100316	11007A00100032
11007A00100318	11007A00100032
11007A00100319	11007A00100032
11007A00100320	11007A00100070
11007A00100322	11007A00100070
11007A00100323	11007A00100137
11007A00100324	7007401TF2170N
11007A00100325	11007A00100032
11007A00100326	11007A00100002
11007A00100327	11007A00100002
11007A00100328	11007A00100013
11007A00100329	11007A00100032
11007A00100332	000701700TF21B
11007A00100333	7007401TF2170N
11007A00100334	7007401TF2170N
11007A00100336	11007A00100149
11007A00100337	11007A00100013
11007A00100338	11007A00100070
11007A00100339	11007A00100149
11007A00100340	11007A00100137
11007A00100341	7007401TF2170N
11007A00100343	7007401TF2170N
11007A00100344	11007A00100137
11007A00100345	11007A00100070
11007A00100347	000701700TF21B
11007A00100348	000701700TF21B
11007A00100349	11007A00100149
11007A00100350	11007A00100149
11007A00100351	11007A00100032
11007A00110337	000701700TF21B
11007A00200001	11007A00200001
11007A00200003	11007A00200001
11007A00200005	11007A00200001
11007A00200006	11007A00200001
11007A00200007	11007A00200001
11007A00200008	11007A00200001
11007A00200012	11007A00200001
11007A00200015	11007A00200001
11007A00200019	11007A00200001
11007A00200020	11007A00200001
11007A00200021	11007A00200001
11007A00200022	11007A00200001
11007A00200023	11007A00200001
11007A00200024	11007A00200001
11007A00200025	11007A00200001
11007A00200027	11007A00200001
11007A00200028	11007A00200001
11007A00200030	11007A00200001
11007A00200031	11007A00200001
11007A00200033	11007A00200001
11007A00200034	11007A00200001
11007A00200035	11007A00200001
11007A00200045	11007A00200045
11007A00200047	11007A00200001
11007A00200050	11007A00200045
11007A00200051	11007A00200045
11007A00200053	11007A00200045
11007A00200054	11007A00200045
11007A00200055	11007A00200045
11007A00200056	11007A00200045
11007A00200057	11007A00200045
11007A00200058	11007A00200045
11007A00200059	11007A00200045
11007A00200060	11007A00200045
11007A00200061	11007A00200045
11007A00200062	11007A00200045
11007A00200063	11007A00200045
11007A00200064	11007A00200045
11007A00200065	11007A00200045
11007A00200066	11007A00200045
11007A00200067	11007A00200045
11007A00200068	11007A00200045
11007A00200074	11007A00200045
11007A00200077	11007A00200045
11007A00200079	11007A00200045
11007A00200083	11007A00200045
11007A00200086	11007A00200045
11007A00200087	11007A00200045
11007A00200088	11007A00200045
11007A00200090	11007A00200045
11007A00200091	11007A00200045
11007A00200092	11007A00200045
11007A00200093	11007A00200045
11007A00200094	11007A00200045
11007A00200096	11007A00200045
11007A00200097	11007A00200097
11007A00200098	11007A00200097
11007A00200099	11007A00200045
11007A00200101	11007A00200101
11007A00200105	11007A00200101
11007A00200106	11007A00200101
11007A00200107	11007A00200101
11007A00200108	11007A00200101
11007A00200109	11007A00200101
11007A00200110	11007A00200110
11007A00200112	11007A00200101
11007A00200113	11007A00200101
11007A00200114	11007A00200101
11007A00200115	11007A00200115
11007A00200118	11007A00200118
11007A00200122	11007A00200122
11007A00200123	11007A00200122
11007A00200124	11007A00200122
11007A00200125	11007A00200122
11007A00200127	11007A00200122
11007A00200128	11007A00200122
11007A00200130	11007A00200118
11007A00200131	11007A00200118
11007A00200132	11007A00200118
11007A00200133	11007A00200118
11007A00200134	11007A00200118
11007A00200135	11007A00200118
11007A00200136	11007A00200118
11007A00200139	11007A00200118
11007A00200140	11007A00200118
11007A00200141	11007A00200118
11007A00200142	11007A00200118
11007A00200143	11007A00200118
11007A00200144	11007A00200118
11007A00200145	11007A00200122
11007A00200146	11007A00200122
11007A00200147	11007A00200122
11007A00200149	11007A00200122
11007A00200151	11007A00200122
11007A00200152	11007A00200122
11007A00200154	11007A00200122
11007A00200156	11007A00200156
11007A00200157	11007A00200156
11007A00200158	11007A00200156
11007A00200159	11007A00200156
11007A00200161	11007A00200156
11007A00200168	11007A00200156
11007A00200176	11007A00200176
11007A00200177	11007A00200176
11007A00200180	11007A00200176
11007A00200183	11007A00200176
11007A00200184	11007A00200176
11007A00200185	11007A00200001
11007A00200187	11007A00200001
11007A00200188	11007A00200001
11007A00200191	11007A00200001
11007A00200192	11007A00200001
11007A00200194	11007A00200118
11007A00200198	11007A00200122
11007A00200201	11007A00200176
11007A00200206	11007A00200110
11007A00200208	11007A00200118
11007A00200210	11007A00200110
11007A00200212	11007A00200110
11007A00200213	11007A00200101
11007A00200217	11007A00200110
11007A00200218	11007A00200101
11007A00200219	11007A00200110
11007A00200220	11007A00200176
11007A00200221	11007A00200045
11007A00200222	11007A00200176
11007A00200224	11007A00200001
11007A00200225	11007A00200045
11007A00200226	11007A00200101
11007A00200227	11007A00200156
11007A00200228	11007A00200156
11007A00200229	11007A00200156
11007A00200230	11007A00200156
11007A00200231	11007A00200110
11007A00200234	11007A00200101
11007A00200235	11007A00200101
11007A00200236	11007A00200101
11007A00200237	11007A00200101
11007A00200238	11007A00200101
11007A00200239	11007A00200101
11007A00200240	11007A00200101
11007A00200241	11007A00200101
11007A00200243	11007A00200101
