AV ESPINA-MS (MATARR0SA SIL)	Avenida Espina-Ms (Matarr0Sa Sil)
CL BARRERA-LI (LIBRAN)	Calle la Barrera
CL CALEINA-VI (VILLAR TRAVIESA)	Calle la Caleina
CL CAGALLA (TORENO)	Calle la Capilla
CL ESCUELA-TB	Calle la Escuela
CL GANDARA (TORENO)	Calle la Gándara
CL IGLESIA-TR (MELANDRERAS-TR)	Calle la Iglesia
CL IGLESIA-SM	Calle la Iglesia
CL LOMBA-VA	Calle la Lomba
CL MATA-VI (VILLAR TRAVIESA)	Calle la Mata
CL PICOTA-PR	Calle la Picota
CL PICOTA-PA	Calle la Picota
CL MURALLON-LI (LIBRAN)	Calle la Pruida
CL PRUIDA-LI (LIBRAN)	Calle la Pruida
CL VILLA-PR	Calle la Villa
CL ENCINAS-MS	Calle las Encinas
CL LINARES (TORENO)	Calle las Linares
CL PAJARES (TORENO)	Calle los Pajares
CL PEDREGALES (TORENO)	Calle los Pedregales
CL REYES CATOLICOS-MS (MATARR0SA SIL)	Calle los Reyes Católicos
CL ROSALES (TORENO)	Calle los Rosales
CL CALVO SOTELO-MS (MATARR0SA SIL)	Calvo Sotelo
CM 2-PA	Camino/Carmen 2-Pa
CM 3-PA	Camino/Carmen 3-Pa
CM 5 (TORENO)	Camino/Carmen 5 (Toreno)
CM 5-PA	Camino/Carmen 5-Pa
CM 7-PA	Camino/Carmen 7-Pa
CR CONGOSTO-SM	Carretera de Congosto
LG SANTA MARINA DEL SIL (S MARINA DEL SI)	Carretera de LE-463 a Santa Marina del Sil
CR PONFERRADA (TORENO)	Carretera de Ponferrada a Villablino
CR SAN PEDRO-MS (MATARR0SA SIL)	Carretera de San Pedro
CR VEGA A-TR (MELANDRERAS-TR)	Carretera de Vega de Espinareda a Toreno
CR EMBALSE (TORENO)	Carretera/Carrera Embalse (Toreno)
CR TORENO-VT (VILLAR TRAVIESA)	Carretera/Carrera Toreno-Vt (Villar Traviesa)
CR VEGA-TB	Carretera/Carrera Vega-Tb
GR FORNILLA (TORENO)	Grupo Fornilla (Toreno)
GR MERINO GARCIA (TORENO)	Grupo Merino Garcia (Toreno)
LG CAMPOS-TR (MELANDRERAS-TR)	Lugar Campos-Tr (Melandreras-Tr)
LG DISEMINADO	Lugar Diseminado
LG PARDAMAZA (PARDAMAZA)	Lugar Pardamaza (Pardamaza)
LG PRADILLA (PRADILLA)	Lugar Pradilla (Pradilla)
LG SANTA LEOCADIA (SANTA LEOCADIA)	Lugar Santa Leocadia (Santa Leocadia)
LG TOMBRIO ABAJO (TOMBRIO ABAJO)	Lugar Tombrio Abajo (Tombrio Abajo)
LG TOMBRIO ARRIBA (TOMBRIO ARRIBA)	Lugar Tombrio Arriba (Tombrio Arriba)
LG TORENO (TORENO)	Lugar Toreno (Toreno)
LG VALDELALOBA (VALDELALOBA)	Lugar Valdelaloba (Valdelaloba)
LG VILLAR TRAVIESA (VILLAR TRAVIESA)	Lugar Villar Traviesa (Villar Traviesa)
PJ VEA (TORENO)	Pasaje/Pasadizo Vea (Toreno)
PZ ALV QUEIPO L-MS (MATARR0SA SIL)	Plaza Alv Queipo L-Ms (Matarr0Sa Sil)
PZ GENERALISIMO (TORENO)	Plaza Generalisimo (Toreno)
PZ MAESTRO RAMON E (TORENO)	Plaza Maestro Ramon E (Toreno)
PZ MAYOR (TORENO)	Plaza Mayor
PZ SIL-MS (MATARR0SA SIL)	Plaza Sil-Ms (Matarr0Sa Sil)
PZ SAN ROQUE (TORENO)	Plaza de San Roque
PZ PAZ (TORENO)	Plaza de la Paz
PZ CAMPO-SP (S PEDRO MALLO)	Plaza del Campo
TR ROLLO (TORENO)	Travesía El Rollo
