15057A51600689	001502000NH05B
15057A51600777	001502000NH05B
15057A51603006	000900100NH05B
15057A51605040	000900100NH05B
15057A51605073	001502000NH05B
15057A51700043	000700300NH25A
15057A51700138	001100100NH25A
15057A51700194	000700300NH25A
15057A51701009	000700300NH25A
15057A51800457	000500100NH15B
15057A51800515	000500100NH15B
15057B50300283	15057A50300005
15057B50301062	15057B50301062
15057B50801001	001200400NH14H
15057B51101045	002200100NH15D
15057B51200528	15057B51200528
15057B51200550	15057B51200528
15057C50600009	000801000NH14H
15057C50600039	000801000NH14H
15057C50600043	000801000NH14H
15057C50600044	000801000NH14H
15057C50800124	15057C50800124
15057C51500167	15057C51500167
15057C51700433	001100100NH25A
15057D50200045	002500100NH25A
15057D50501011	15057A50500214
15057E50801012	15057A50800358
15057E51200024	001400300NH15B
15057E51200032	001400300NH15B
15057E51200114	001400300NH15B
15057E51200236	15057E51200236
15057E51200238	15057E51200236
15057E51200770	001400300NH15B
15057F51300701	000900100NH14E
15057H50800387	15057A50800358
15057H50800398	15057A50800358
15057J50805002	15057A50800358
15057L00200001	000401500NH15C
15057L00200533	000401500NH15C
15057L00300203	000401600NH15C
15057L00300217	000401600NH15C
15057L00300218	000401600NH15C
15057L00401023	15057L00401023
15057L00500699	15057L00500699
15057L00700175	002100100NH15D
15057L00800843	001603300NH15D
15057M00100373	000400100NH14H
15057M00200638	000801000NH14H
15057M00200692	15057M00200692
15057M00200837	15057M00200692
15057M00400716	002000100NH15B
15057M00600229	15057M00600229
15057M00600240	15057M00600229
15057M00700294	15057M00700294
15057M00800582	15057M00800582
0011201NH2501S	0011201NH2501S
001200200NH15B	001200200NH15B
001806200NH25A	001806200NH25A
0024701NH1502S	0024701NH1502S
0032602NH1503S	0032602NH1503S
0032603NH1503S	0032602NH1503S
0032604NH1503S	0032602NH1503S
0033504NH1503S	0033504NH1503S
0033505NH1503S	0033504NH1503S
0033506NH1503S	0033504NH1503S
0033507NH1503S	0033504NH1503S
0034501NH1503S	0034503NH1503S
0034502NH1503S	0034503NH1503S
0034503NH1503S	0034503NH1503S
0034504NH1503S	0034503NH1503S
0035603NH1503N	0035603NH1503N
0038701NH1503N	0038701NH1503N
0117501NH1501N	0117501NH1501N
0117502NH1501N	0117501NH1501N
0117601NH1501N	0117601NH1501N
