DS DISEMINADO	
AV BARRANCO DEL AGUA	Avenida Barranco del Agua
AV GUADALAJARA	Avenida Guadalajara
AV RIO PISUERGA	Avenida Rio Pisuerga
AV RIO DUERO	Avenida Río Duero
AV RIO GUADALQUIVIR	Avenida Río Guadalquivir
AV EUROPA	Avenida de Europa
CL CONSTITUCION	Avenida de la Constitución
CL 2 SAU 7	
CL 6 SAU 7	
CL 7 SAU 7	
CL ALAMOS	Calle Álamos
CL AJALVIR	Calle Ajalvir
CL ALEGRIA	Calle Alegría
CL AMAPOLA	Calle Amapola
CL AMARGURA	Calle Amargura
CL AMERICA	Calle América
CL AFRICA	Calle África
CL ANTONIO MACHADO	Calle Antonio Machado
CL ARENAL	Calle Arenal
CL ASIA	Calle Asia
CL AZALEA	Calle Azalea
CL AZORIN	Calle Azorín
CL AZUCENA	Calle Azucena
CL BEGONIA	Calle Begonia
CL BODEGUILLAS	Calle Bodeguillas
CL CANTARRANAS	Calle Cantarranas
CL CERRO DEL CASTILLO	Calle Cerro del Castillo
CL CID	Calle Cid
CL CLAVEL	Calle Clavel
CL COLMENAR	Calle Colmenar
CL COLON	Calle Colón
CL CONQUISTADORES	Calle Conquistadores
CL COVACHUELAS	Calle Covachuelas
CL CRUZ DE PIEDRA	Calle Cruz de Piedra
CL DALIA	Calle Dalia
CL SOTO	Calle El Soto
CL ERAS ALTAS	Calle Eras Altas
CL ERAS DE ARRIBA	Calle Eras de Arriba
CL ERAS DE CARRABELVIS	Calle Eras de Carrabelvis
CL ERAS DEL REY	Calle Eras del Rey
CL FUCSIA	Calle Fucsia
CL FUENTE EL SAZ	Calle Fuente el Saz
CL GERANIO	Calle Geranio
CL GLADIOLO	Calle Gladiolo
CL HORTENSIA	Calle Hortensia
CL HUERTOS	Calle Huertos
CL IRIS	Calle Iris
CL JARAMA	Calle Jarama
CL JAZMIN	Calle Jazmín
CL FUENTE	Calle La Fuente
CL LUNA	Calle La Luna
CL LIBERTAD	Calle Libertad
CL LIRIO	Calle Lirio
CL MADRID	Calle Madrid
CL MARGARITAS	Calle Margaritas
CL MAYOR	Calle Mayor
CL MERCADO	Calle Mercado
CL MIGUEL HERNANDEZ	Calle Miguel Hernández
CL MIGUEL DE UNAMUNO	Calle Miguel de Unamuno
CL NUEVA	Calle Nueva
CL OCEANIA	Calle Oceanía
CL OLIVO	Calle Olivo
CL ORQUIDEA	Calle Orquídea
CL PAPEL	Calle Papel
CL PETUNIA	Calle Petunia
CL PICON	Calle Picón
CL PIO BAROJA	Calle Pío Baroja
CL RONDA SUR	Calle Ronda Sur
CL ROSA	Calle Rosa
CL RIO GUADIANA	Calle Río Guadiana
CL RIO JUCAR	Calle Río Júcar
CL RIO EBRO	Calle Río Ebro
CL RIO MIÑO	Calle Río Miño
CL RIO SEGURA	Calle Río Segura
CL RIO TAJO	Calle Río Tajo
CL SAN CIPRIANO	Calle San Cipriano
CL SAU-5B CL A	
CL SAU-5B CL B	
CL SAU-5B CL CUATRO	
CL SAU-5B CL D	
CL SAU-5B CL UNO	
CL TULIPAN	Calle Tulipán
CL VALLEJUELOS	Calle Vallejuelos
CL VICENTE ALEXANDRE	Calle Vicente Alexandre
CL VIOLETA	Calle Violeta
CL VIÑUELAS	Calle Viñuelas
CL BARCA	Calle de la Barca
CL PLATA DE LA	Calle de la Plata
CL TEJERA	Calle de la Tejera
CL BRONCE DEL	Calle del Bronce
CL COBRE DEL	Calle del Cobre
CL HIERRO	Calle del Hierro
CL NIQUEL	Calle del Níquel
CL OLIVAR	Calle del Olivar
CL ORO DEL	Calle del Oro
CL PLOMO DEL	Calle del Plomo
CL RASILLO	Calle del Rastrillo
CJ IGLESIA	Callejón de la Iglesia
CJ BEGONIA DE	Callejón de Begonia
CL CHORRILLO	Callejón del Chorrillo
CM MADRID	Camino de Madrid
CL CAMINO DE LA DEHESA	Camino de la Dehesa
CR AJALVIR	Carretera de Ajalvir
CR ALCALA-TORRELAGUNA	Carretera Alcalá-Torrelaguna
CR BELVIS	Carretera de Belvis
CR COBEÑA-ALGETE	Carretera Cobeña-Algete
CR DAGANZO (DS)	Carretera de Daganzo (Ds)
CR M-103	Carretera M-103
PZ MATIAS GUTIERREZ	Plaza de Matías Gutiérrez
PZ ORIENTE	Plaza de Oriente
PZ VULCANO	Plaza de Vulcano
PL VILLA DE LA	Plaza de la Villa
PZ ERAS DE ARRIBA	Plaza de las Eras de Arriba
PL DISEMINADOS	
TR AJALVIR	Travesía Ajalvir
TR COLMENAR	Travesía Colmenar
TR CONQUISTADORES	Travesía Conquistadores
TR FUENTE DE LA	Travesía de la Fuente
TR OLIVO	Travesía Olivo
TR TEJERA	Travesía de la Tejera
TR CID	Travesía del Cid
TR OLIVAR DEL	Travesía del Olivar
CL VEREDA DE LOS SASTRES	Vereda de los Sastres
