AV MATAMONS	Avinguda Matamons
CL MTRE R TOMAS	Carrer de Ramon Tomás
CL RAMON Y CAJAL	Carrer de Ramon i Cajal
CL RESALANY	Carrer de Resalany
CL RIBERA ALTA	Carrer de la Ribera Alta
CL RODRIGUEZ	Carrer de Rodríguez
CL SABATERS	Carrer de Sabaters
AL SALVADOR ALLENDE	Avinguda de Salvador Allende
CL SALVADOR PERELLO	Carrer de Salvador Perelló
CL SANT ANDREU	Carrer de Sant Andrés
CL SANT ANTONI	Carrer de Sant Antoni Abat
CL JUAN BAUTISTA OSCA	Carrer de Sant Baptista Osca
CL SANT CRISTOBOL	Carrer de Sant Cristòfol
CL SANT FRANCESC	Carrer de Sant Francesc
CL SANT MIQUEL	Carrer de Sant Miquel
CL SANT PERE	Carrer de Sant Pere
CL SANT ROC	Carrer de Sant Roc
CL SANT VICENT	Carrer de Sant Vicent
CL SANTA BARBARA	Carrer de Santa Bàrbara
CL SANTA ROSA	Carrer de Santa Rosa
CL SANTIAGO APOSTOL	Carrer de Santiago Apóstol
CL SANTIAGO DE LES	Carrer de Santiago de Les
CL TEIXIDORS	Carrer dels Teixidors
CL TOUS	Carrer de Tous
CL TRAGINERS	Carrer de Traginers
CL VICENT ANDRES ESTELLES	Carrer de Vicent Andrés Estellés
CL VICENT VENTURA	Carrer de Vicent Ventura
CL VILAR MIRALLES	Carrer de Vilar Miralles
CL XUQUER	Carrer del Xúquer
CL L'ALGUER	Carrer de l'Alguer
CL ESGLESIA	Carrer de l'Església
CL ESTACIO	Carrer de l'Estació
CL EXERCIT ESPANYO	Carrer de l'Exèrcit Espanyol
CL BEATA AMAT	Carrer de la Beata Amat
CL FILH ALCUDIANA	Carrer de la Filharmònica Alcudiana
CL DELICIES	Carrer de les Delícies
CL GERMANIES	Carrer de les Germanies
CL ILLES BALEARS	Carrer de les Illes Balears
CL 25 D'ABRIL	Carrer del 25 d'Abril
CL BOLERO	Carrer del Bolero
CL CALVO ACACIO	Carrer del Calvo Acacio
CM VELL D'ALCIRA	Camí Vell d'Alzira
CL CARDENAL CISNEROS	Carrer del Cardenal Cisneros
CL CURA MUÑOZ	Carrer del Cura Muñoz
CL DOCTOR PERSET	Carrer del Doctor Peset
CL DOS DE MAIG	Carrer del Dos de Maig
CL GENERAL ALBERT	Carrer del General Albert
CL MTRE ENRIQUE GARCES	Carrer del Mestre Enric Garcés
CL MTRE J GARCIA	Carrer del Mestre Josep García
CL MOSEN MARQUES	Carrer del Mossén Marqués
CL MUS FERNANDET M	Carrer del Músic Miquel Fernandet
CL NOU D'OCTUBRE	Carrer del Nou d'Octubre
CL PINTOR SOROLLA	Carrer del Pintor Sorolla
CL PINTOR VERGARA	Carrer del Pintor Vergara
CL POETA L MILLO	Carrer del Poeta Millo
CL PARROCO MORA	Carrer del Pàrroc Mora
CL RECTOR VICENT COLOMER	Carrer del Rector Vicent Colomer
CL REI EN JAUME	Carrer del Rei En Jaume
CL DEL SAHARA	Carrer del Sàhara
CL TRIBUNAL AIGUES	Carrer del Tribunal de les Aigües
CL JOSEP RENAU	Carrer del Pintor Josep Renau
CL PR.ENRIQUE TIERNO GALVAN	Carrer del Professor Tierno Galván
CL CALCETERS	Carrer dels Calceters
CL PICAPEDRERS	Carrer dels Picapedrers
CL REYES CATOLICOS	Carrer dels Reis Catòlics
CL SEDERS	Carrer dels Seders
LG SECTOR 10 REPARCELACION	Lugar Sector 10 Reparcelacion
LG SECTOR 2	Lugar Sector 2
LG SECTOR 5	Lugar Sector 5
LG U.E. 1	Lugar U.E. 1
PD DISEMINADOS MONTORTAL	Partida Diseminados Montortal
PJ SANT JOAN	Passatge de Sant Joan
PZ AJUNTAMENT	Plaza Ajuntament
PZ FAROLA, LA	Plaza Farola, la
PZ PEREGRI MONTAGUD	Plaza Peregri Montagud
PZ SEGONA REPUBLICA	Plaza Segona Republica
PZ CERVANTES	Plaça de Cervantes
PZ ESGLESIA	Plaça de l'Església
PZ CONSTITUCIO	Plaça de la Constitució
PZ DIPUTACIO	Plaça de la Diputació
PZ GENERALITAT	Plaça de la Generalitat
PZ PAIS VALENCIA	Plaça del País Valencià
PL POLIGONO    1	Polígono Poligono 1
PL POLIGONO   12	Polígono Poligono 12
PL POLIGONO   13	Polígono Poligono 13
PL POLIGONO   14	Polígono Poligono 14
PL POLIGONO   16	Polígono Poligono 16
PL POLIGONO   17	Polígono Poligono 17
PL POLIGONO   18	Polígono Poligono 18
PL POLIGONO   19	Polígono Poligono 19
PL POLIGONO    2	Polígono Poligono 2
PL POLIGONO   20	Polígono Poligono 20
PL POLIGONO   22	Polígono Poligono 22
PL POLIGONO   23	Polígono Poligono 23
PL POLIGONO   25	Polígono Poligono 25
PL POLIGONO   26	Polígono Poligono 26
PL POLIGONO   27	Polígono Poligono 27
PL POLIGONO   28	Polígono Poligono 28
PL POLIGONO   29	Polígono Poligono 29
PL POLIGONO    3	Polígono Poligono 3
PL POLIGONO    4	Polígono Poligono 4
PL POLIGONO    5	Polígono Poligono 5
PL POLIGONO    6	Polígono Poligono 6
PL POLIGONO    7	Polígono Poligono 7
PL POLIGONO    8	Polígono Poligono 8
PL POLIGONO    9	Polígono Poligono 9
AV RONDA SOLIDARITAT	Ronda de la Solidaritat
UR ISMAEL TOMAS 1	Urbanización Ismael Tomas 1
UR ISMAEL TOMAS 2	Urbanización Ismael Tomas 2
UR ISMAEL TOMAS 3	Urbanización Ismael Tomas 3
UR ISMAEL TOMAS 4	Urbanización Ismael Tomas 4
UR ISMAEL TOMAS 5	Urbanización Ismael Tomas 5
AR NUCLEO DISEMINADOS/ZV-01	Área/Arrabal Nucleo Diseminados/Zv-01
