DS POLIGONO 08		CAT
AV DE SA PUNTA GRAN-FORNELLS	Avinguda de sa Punta Gran	OSM
CL PUNTA PETITA	Avinguda de sa Punta Petita	OSM
CL DES PUJOL ,AG FORNELLS	Calle Des Pujol , Ag Fornells	CAT
CL F ; AG FORNELLS	Calle F	CAT
CL H ; AG FORNELLS	Calle H	CAT
CL MOLI	Calle Moli	CAT
CL P ; AG FORNELLS	Calle P	CAT
CL Q ; AG FORNELLS	Calle Q	CAT
CM M ; AG FORNELLS	Camino/Carmen M	CAT
CL GABRIEL GELABERT	Carrer Gabriel Gelabert	OSM
CL MAJOR;AG FORNELLS	Carrer Major	OSM
CL MAR	Carrer Major	OSM
CL SANT ANTONI	Carrer Sant Antoni	OSM
CL TRAMONTANA	Carrer Tramuntana	OSM
CL ES CASTELL, DE;AG FORNELL	Carrer d'es Castell	OSM
CL ATALAIA, DE SA;AG FORNELL	Carrer de S'Atalaia	OSM
CL VIVERS-FORNELLS	Carrer de Vivers	OSM
CL VERGE DEL CARME	Carrer de la Verge del Carme	OSM
CL ESCOLES	Carrer de ses Escoles	OSM
CL ROQUES	Carrer de ses Roques	OSM
CL GOVERNADOR	Carrer del Governador	OSM
CL ROSARI	Carrer del Rosari	OSM
CL MISOUS, DE ES; AG FORNELL	Carrer des Misous	OSM
CL VINYES,SES;AG FORNELLS	Carrer ses Vinyes	OSM
PS POETA GUMERSIND RIERA	Passeig Marítim Gumersind Riera	OSM
PZ PEDRO M.CARDONA	Plaça Pere Maria Cardona	OSM
PZ FORN	Plaça des Forn	OSM
TR VERGE DEL CARME;AG FORN	Travessera de la Verge del Carme	OSM
PZ S'ALGARET,DE;AG FORNELLS	squarePlaça S'Algaret	OSM
