DS PEÑARRUBIA	
DS CANTOS S BLAS	
AV GREGORIO PECES-BARBA MART	Avenida Gregorio Peces-Barba Martínez
AV BENITO ELVIRA	Avenida de Benito Elvira
AV PABLO IGLESIAS	Avenida de Pablo Iglesias
CL ABETO	Calle Abeto
CL ACEDERA	Calle Acedera
CL ADAJA	Calle Adaja
CL ALAGON	Calle Alagón
CL ALBERCHE	Calle Alberche
CL ALBITANA	Calle Albitana
CL ALFARERO	Calle Alfarero
CL ALMENDROS	Calle Almendros
CL ARROYO PRAUSTEROS	Calle Arroyo Prausteros
CL ARROYO DE LA PARRA	Calle Arroyo de la Parra
CL ARROYO DEL MEMBRILLO	Calle Arroyo del Membrillo
CL AULENCIA	Calle Aulencia
CL AZORIN	Calle Azorín
CL BARREDUELOS	Calle Barreduelos
CL BARTOLOME MURILLO	Calle Bartolomé Murillo
CL BIDASOA	Calle Bidasoa
CL BRAULIO CASTRO	Calle Braulio Castro
CL CALDERON DE LA BARCA	Calle Calderón de la Barca
CL CAMPANA	Calle Campana
CL CANTERAS DE LAS	Calle de las Canteras
CL CARACOL	Calle Caracol
CL CARDILLO	Calle Cardillo
CL CAÑADA DE MERINAS	Calle Cañada de Merinas
CL CEPAS	Calle Cepas
CL CERCA PINO	Calle Cerca del Pino
CL COLADA DEL MILANILLO	Calle Colada del Milanillo
CL COLMENAS	Calle Colmenas
CL COSME GAMELLA DE	Calle Cosme Gamella
CL ESPERNADILLA V	
CL CRUCES	Calle Cruces
CL CUCHARES	Calle Cuchares
CL DIEGO DE VELAZQUEZ	Calle Diego de Velázquez
CL DUERO	Calle Duero
CL EBRO	Calle Ebro
CL GRECO EL	Calle El Greco
CL EL DE SANCHO	Calle El de Sancho
CL ENFRIADERO	Calle Enfriadero
CL ERAS	Calle Eras
CL ERESMA	Calle Eresma
CL ESLA	Calle Esla
CL EUSEBIO MORENO	Calle Eusebio Moreno
CL FAISAN	Calle Faisán
CL FEDERICO G LORCA	Calle Federico García Lorca
CL FRANCISCO ELVIRA	Calle Francisco Elvira
CL FRANCISCO DE GOYA	Calle Francisco de Goya
CL FRASCUELO	Calle Frascuelo
CL FRESNO DEL	Calle Fresno
CL FUENTE ELVIRA	Calle Fuente Elvira
CL FUENTE POZAS	Calle Fuente Pozas
CL FUENTE DEL CONEJO	Calle Fuente del Conejo
CL GAMO	Calle Gamo
CL GENIL	Calle Genil
CL GREGORIO PANADERO DE	Calle Gregorio Panadero
CL GUADALQUIVIR	Calle Guadalquivir
CL GUADARRAMA	Calle Guadarrama
CL GUINDAL	Calle Guindal
CL HENARES	Calle Henares
CL HERREN GRANDE	Calle Herrén Grande
CL HUERTA	Calle Huerta
CL HUERTA ADRIAN PANADERO	Calle Huerta Adrián Panadero
CL INMACULADA	Calle Inmaculada
CL JABALI	Calle Jabalí
CL JALON	Calle Jalón
CL JARAMA	Calle Jarama
CL JOSELITO	Calle Joselito
CL JUAN GRIS	Calle Juan Gris
CL JUCAR	Calle Júcar
CL LIEBRE	Calle Liebre
CL LLOBREGAT	Calle Llobregat
CL LOPE DE VEGA	Calle Lope de Vega
CL MADRID	Calle Madrid
CL MANOLETE	Calle Manolete
CL MANZANARES	Calle Manzanares
CL MARAVILLAS	Calle Maravillas
CL MEDIA LUNA	Calle Media Luna
CL MIEL	Calle Miel
CL MIGUEL DE CERVANTES	Calle Miguel de Cervantes
CL MIGUEL DE UNAMUNO	Calle Miguel de Unamuno
CL MIÑARROS	Calle Miñarros
CL MOLINO	Calle Molino
CL NALON	Calle Nalón
CL NAVAHONDILLA	Calle Navahondilla
CL NAVAZO	Calle Navazo
CL NAVIA	Calle Navia
CL OLMO	Calle Olmo
CL PABLO PICASSO	Calle Pablo Picasso
CL PAJAR NUEVO	Calle Pajar Nuevo
CL PALANCAR	Calle Palancar
CL PELIGROS	Calle Peligros
CL CAMPESINO DEL	Calle del Campesino
CL PERDIZ	Calle Perdiz
CL PEÑAS TRIGO	Calle Peñas del Trigo
CL PEÑOTE	Calle Peñote
CL PISUERGA	Calle Pisuerga
CL PORVENIR	Calle Porvenir
CL POZUELO	Calle Pozuelo
CL PRADO MARINERO	Calle Prado Marinero
CL PRAOFUENTES	Calle Praofuentes
CL PRAUSTEROS	Calle Prausteros
CL PIO BAROJA	Calle Pío Baroja
CL REVUELTA	Calle Revuelta
CL RCON PRAUSTEROS	Calle Rincón de Prausteros
CL ROBLEDILLO	Calle Robledillo
CL ROMERAL	Calle Romeral
CL SALVADOR DALI	Calle Salvador Dalí
CL SAN LUIS	Calle San Luis
CL SANTIAGO MARTIN	Calle Santiago Mártir
CL SARMIENTOS	Calle Sarmientos
CL SEGRE	Calle Segre
CL SEGURA	Calle Segura
CL SEIS DE DICIEMBRE	Calle Seis de Diciembre
CL SEVILLANO	Calle Sevillano
CL SIL	Calle Sil
CL TAJO	Calle Tajo
CL TAJUÑA	Calle Tajuña
CL TER	Calle Ter
CL TERCERA EDAD	Calle Tercera Edad
CL TIRSO DE MOLINA	Calle Tirso de Molina
