ER EXTRARRADIO	
CL CERVANTES	Calle Cervantes
CL ERAS	Calle Eras
CL DR JESUS GOMEZ BLAZQUEZ	Calle Jesús Gómez
CL LADERA	Calle Ladera
CL LECHEROS	Calle Lecheros
CL PRADOS	Calle Prado
CL RINCON	Calle Rincón
CL SAN SALVADOR C	Calle San Salvador
CL SAN SEBASTIAN	Calle San Sebastián
CL TRAVIESA	Calle Traviesa
CL TRIANA	Calle Triana
CL VENANCIO RODRIGUEZ	Calle Venancio Rodríguez
CL COMERCIO	Calle comercio
CL SAN ROQUE	Calle de San Roque
CL CAÑO	Calle del Caño
CL FUENTE	Calle la Fuente
CL IGLESIA	Calle la Iglesia
CM CUBO	Camino/Carmen Cubo
