AV CIRCUMVAL·LACIO	Avinguda Circumvalació
CL PAS DES TIMO	Pas des Timó
PS TORRE, DE SA	Passeig de sa Torre
CL TRAMUNTANA D'ALCAUFAR	Carrer Tramuntana
CL 29 - S'ALGAR	Carrer 29
CL VAPOR JAUME II, DES	Carrer del Vapor Jaume II
CR BINISSAFULLER 47	
CL BINIBECA NOU 0644	
CM SANTA ROSITA	Camí de Santa Rosita
CL TRAMUNTANA BINISAFULLER	Carrer de Tramuntana
CM CALAMARS TREMOLOSOS, DES	Carrer des Calamars Tremolosos
CL S'AUBA	Carrer de s'Auba
CM BINIPURDELLET 56	
CL BINIBECA VELL 0564	
CL BINIBECA VELL 0563	
CL BINIBECA VELL 0562	
CM SANT CLIMENT, DE	
CM DE BAIX (POU NOU)	Camí des Pou Nou Baix
CL BINIBECA NOU 0604	
CM MOROS	Camí des Moros
CM OBLADA BLAVA, DE S'	Carrer de s'Oblada Blava
DS VINYA SATURNI	
PZ BATLLE, DES	Plaça des Batlle
CL BINIBECA NOU 0607	
CL LLEBEIG DE BINISAFULLER	Carrer des Llebeig
CL PAS DES CORMORANS	Pas des Cormorans
CL BOTANIC	Carrer Botànic
CL ANELLES, DE SES	Carrer de ses Anelles
PR POBLAT DE TORRET	
DS BINIPARRATX CALA	
CL AMFOS DE PUNTA PRIMA	Carrer de s’Amfós
CL ESTEL SIRIUS	Carrer de s'Estel Sírius
CL S'ALGAR 1521	
CL BINIANCOLLET 0804	
CL NUMERO 30-S'ALGAR	Carrer 30
CL TRAMUNTANA DE S'ALGAR	Carrer Tramuntana
CL BINIANCOLLET 0801	
CL BINIANCOLLET 0803	
CL ESTEL RIGEL	Carrer de s'Estel Rigel
CL S'ERMITA	Carrer de s'Ermita
CM SES BARQUERES 20	
CL NORD, DEL	Carrer del Nord
CL MERLA, DE SA	Carrer de sa Merla
CL LLEVANT DE BINISAFULLER	Carrer de Llevant
CL SANT ESTEVE	Carrer de Sant Esteve
CL ANCORA DE S'ALGAR	Carrer de s'Àncora
CL LANTANES, DE SES	Carrer de ses Lantanes
CL ANCORA BINIBEQUER VELL	Carrer de s’Àncora
CL TIMO, DES	Carrer des Timó
CM RAONS PERDUTS, DES	Carrer des Raors Perduts
PS DE SA TORRE	Passeig de Sa Torre
CL EMBAT	Carrer Embat
CL DES EQUINOCCIS	Carrer des Equinoccis
CL NUMERO 27-S'ALGAR	Carrer 27
CL BELLAMIRADA	Carrer de sa Bella Mirada
DS LLOC NOU	
CL PUNTA PRIMA 1209	
CL NUMERO 23-S'ALGAR	Carrer 23
CL GARBI	Carrer de Garbí
CL CIUTAT JARDI-BINIBECA	Carrer Ciudad Jardín
CL S'ESCALETA, DE	Carrer de s'Escaleta
CL CALO BLANC, DES	Carrer des Calo Blanc
CR PREFAB MERCADAL	
CM SON TRETZE	Camí de Son Tretze
CL D'AQUARI	Carrer d’Aquari
CL SANT LLUIS	Carrer de Sant Lluís
CL CALA BINIANCOLLA 0918	
CL S'ORONELLA, DE	Carrer de s'Oronella
CL ULLASTRE DE CAP DEN FONT	
CL S'ESTEPA	Carrer de s'Estepa
CL S'ARPO, DE	Carrer de s'Arpó
CL AVINGUDA 1-S'ALGAR	Avinguda 1ª
CM SINIA PARRUQUET, DE SA	Camí de sa Sínia
CL LLENCES, DE SES	Carrer de ses Llences
DS SANTA RITA	
CL AVINGUDA 6-S'ALGAR	Avinguda 6ª
DS BINIATI VELL	
CL BINIBECA VELL 0511	
UB BINIANCOLLA	
CL DE DALT	Carrer de Dalt
DS DISSEMINATS VARIS	
CL FIGUERA, DE SA	Carrer de sa Figuera
DS BINIALI	
CL BISBE SEVER	Carrer Bisbe Sever
CL AVINGUDA 3-S'ALGAR	Avinguda 3ª
CL BINISAFUARO0415	
CM AMFOS BLAU, DE S'	Carrer de s'Amfós Blau
CL SOL	Carrer Sol
CL SOLANO	Carrer de Solano
CL 21 - S'ALGAR	Carrer 21
CM BINIBECO 42	
CL SIROCCO	Carrer de Sirocco
CL GAVINES, DE SES	Carrer de ses Gavines
CL MESTRAL DE PUNTA PRIMA	Carrer des Mestral
CL BAIXADA DE LLEBEIG	Baixada Llebeig
CL BINISAFUAPL0234	
CL GIRADA, DE NA	Carrer de na Girada
CM VELL  ALCAUFAR 23	
CL LLEVANT D'ALCAUFAR	Carrer Llevant
CL LLEVANT DE PUNTA PRIMA	Carretera de Punta Prima
DS BINIBURDELLET	
CL XALOC D'ALCAUFAR	Carrer de Xaloc
CM SES BARQUERES 61	
CL VELA LLATINA, DE SA	Carrer de sa Vela Llatina
CL BINISAFUAPL0308	
CR SA PALMERA ULLE	
CL BINISAFUAPL0304	
CL MESTRAL DE BINISAFULLER	Carrer des Mestral
DS VINYA D'EN CAULES	
CL DATILS, DELS	Carrer des Dàtils
CM BINIPARRELL 55	
CL TORRET BAIX 0712	
CL TORRET BAIX 0713	
CL PONENT DE CAP D'EN FONT	Carrer Ponent
AV TALAIOT	Avinguda Talaiot
CL LLEVANT DE S'ALGAR	Carrer des Llevant
DS BINIPARRATXET	
CR RAFALET COSTETA	
CL CURT	Carrer Curt
CL BINIBECA NOU 0635	
CL SENSE NOM	
DS POBLAT POU NOU	
CL CREU, DE SA	Carrer de sa Creu
CL ANGLADES, DE SES	Carrer de ses Anglades
UB ALCAUFAR	
CM CIRVIA ENROCADA, DE SA	Carrer de sa Sírvia Enrrocada
DS BINIATI DES PI	
CR SANTA ROSA	
CL HAM, DE S'	Carrer de s'Ham
CL BINISAFUARO0408	
CL GLOSADORS	Carrer des Glossadors
CL BARRANC, DES	Carrer des Barranc
CM SANTA  RITA 64	
CL PUNTA PRIMA 1208	
CL ESTRELLES	Carrer Estrelles
CL AVINGUDA 5-S'ALGAR	Avinguda 5ª
CL RAI, DES	Carrer des Rai
CM BINIFONOLL, DE	
CL EQUINOCCIS, DELS	Carrer des Equinoccis
CL FAR, DES	Carrer des Far
AV DE SA PAU	Avinguda de sa Pau
CM DE  LA COIXA 35	Camí de sa Coixa
CL PAS DE SES TEMPESTES	Pas de ses Tempestes
CL SALABRE, DES	Carrer des Salabre
CM BINISSAFULLET 49	
CM CAMI REIAL DES POU NOU	Camí Reial des Pou Nou
CM S'ULLASTRAR 39	Camí de s'Ullastrar
AV DE SON REMEI	Avinguda de Son Remei
PZ NOVA 19	Plaça Nova
CM S'ATALAYA 32	
CL NUMERO 24-S'ALGAR	Carrer 24
CL ULLASTRES, DES	Carrer des Ullastres
CL AVINGUDA 4-S'ALGAR	Avinguda 4ª
CR RAFALETO	
CL SARGANTANA NEGRA, DE SA	Carrer de sa Sargantana Negra
CL NOTUS	Carrer Notus
CL VENDAVAL	Carrer des Vendaval
CM BELIACS,D'ES(S'ULLASTRAR)	
CL LLOBREGANTS, DES	Carrer des Llobregants
DS SAN MARCELO BIN	
CL SON PERRUQUET	Carrer de son Parruquet
DS SON REMEI	
CM DE SA VIGIA	Camí de sa Vigia
CL ADELFES, DE SES	Carrer de ses Adelfes
DS BINILORI NOU	
CR SES BARRAQUES	Carrer de ses Barraques
DS SANTA ROSITA	
CL BINIBECA VELL 0507	
CL BINIBECA VELL 0501	
CL BARLOVENTO	Carrer de Barlovento
CL BINIBECA VELL 0502	
CL SANT JACINT	Carrer de Sant Jacint
CL PAS DES VOGAMARINS	Pas Des Vogamarins
CL DUC DE CRILLON	Carrer Duc de Crillon
CM ALATXA, DE S'	Carrer de s’Alatxa
CM RAFALET	Camí de Rafalet
DS BINIFADET	
CM SES VINYES (TORRET)	
CL BINIBECA NOU 0605	
CL 1024 (SON GANXO)	
CL PAS DE L'AIRE	Carrer Pas de l'Aire
CL BINIBECA NOU 0602	
CM ESPARRALL ENDEMONIAT	Carrer de s'Esparrall Endemoniat
CL XALOC BINISAFULL PLATJA	Carrer de Xaloc
