ER EXTRARRADIO	
BO SAN ISIDRO	Barrio de San Isidro
CL ALBA	Calle Alba
CL BODEGUILLAS	Calle Bodeguillas
CL CALZADA	Calle Calzada
CL CAMPO	Calle Campo
CL CARRASCAL	Calle Carrascal
CL SIN SALIDA	Calle Cerrada
CL CONCEJO	Calle Concejo
CL CRISTO	Calle Cristo
CL DULZURA	Calle Dulzura
CL GRANJA, LA	Calle la Granja
CL LADERA	Calle Laderas
CL LARGA	Calle Larga
CL ESCALERILLA	Calle Escalerilla
CL MEDINA	Calle Medina
CL NUESTRA SEÑORA	Calle Nuestra Señora
CL PELIGROS	Calle Peligros
CL QUEBRANTOS	Calle Quebrantos
CL RECODO	Calle Recodo
CL SANTIAGO	Calle Santiago
CL TEJARES	Calle Tejar
CL TRAVIESA	Calle Traviesa
CL IGLESIA	Calle de la Iglesia
CL POZO	Calle del Pozo
CL CARMEN	Calle el Carmen
CL HORNILLO	Calle el Hornillo
CL MOLINO	Calle el Molino
CL FRAGUA, LA	Calle la Fragua
CL LUZ	Calle la Luz
CL POSADA, LA	Calle la Posada
CL SALAMANCA	Calle Salamanca
CL AGUAS, LAS	Calle las Aguas
CL LILAS, LAS	Calle las Lilas
CM VILLAR	Camino El Villar
CM CANTARACILLO	Camino de Cantaracillo
CR CAÑIZAL	Carretera de Cañizal
PZ MAYOR	Plaza Mayor
PZ PINOS, LOS	Plaza los Pinos
RD CANTARACILLO	Ronda Cantaracillo
RD PEÑARANDA	Ronda Peñaranda
RD PARADINAS	Urbanización de Paradinas
UR PARADINAS	Ronda de Paradinas
RD ZORITA	Ronda de Zorita
