AV MOZART-UB S VITAMINA	Avinguda Mozart
CL DE S'ULL DE SOL	Carrer de s'Ull de Sol
CL DE LA BARRERA	Carrer de sa Barrera
CL BASSA ROJA	Carrer de sa Bassa Roja
CL SA BEGUDA	Carrer de sa Beguda
CL DE SA BOLLA	Carrer de sa Bolla
CL DE LA CANYSSA	Carrer de sa Canyssa
CL DE SA COVA	Carrer de sa Cova
CL DE SA FONT	Carrer de sa Font
CL DE SA MANEGA	Carrer de sa Menega
CL DE SA MINA	Carrer de sa Mina
CL DE SA MUNTANYETA	Carrer de sa Muntanyeta
CL DE SA NAVETA	Carrer de sa Naveta
CL DE SA PRESO	Carrer de sa Presó
CL DE SA ROCASSA	Carrer de sa Rocassa
CL SES ALZINES	Carrer de ses Alzines
CL DE SES ESCOLES	Carrer de ses Escoles
CL DE SES FIGUERES	Carrer de ses Figueres
CL DE SES GUIXES	Carrer de ses Guixes
CL DE SES PARRES	Carrer de ses Parres
CL DE SES PETJADES	Carrer de ses Petjades
CL DE SES QUATRE BOQUES	Carrer de ses Quatre Boques
CL SES SIVINES	Carrer de ses Sivines
CL SES VIDALES, DE	Carrer de ses Vidales
CL DE SES VUIT QUARTERES	Carrer de ses Vuit Quarteres
CL DEL BARRANC	Carrer del Barranc
CL DEL BISBE GOÑALONS	Carrer del Bisbe Gonyalons
CL DEL CARD MARI	Carrer del Card Marí
CL DEL CARRITX	Carrer del Càrritx
CL GATO PESCADOR-U	Carrer del Gat Pescador
CL DEL GREGAL	Carrer del Gregal
CL DEL LLANO-UB S	Carrer del Llano
CL DEL LLEVANT	Carrer del Llevant
CL DEL LLIRI BLANC	Carrer del Lliri Blanc
CL DEL MARE NOSTRUM	Carrer del Mare Nostrum
CL DEL MESTRE DURAN	Carrer del Mestre Duran
CL DEL MIGJORN	Carrer del Migjorn
CL DEL PENYASSEGAT	Carrer del Penya-Segat
CL PINAR	Carrer del Pinar
CL PINAR; SAN JAIME MEDIT.	Carrer del Pinar
CL DELS ALADERNS	Carrer dels Aladerns
CL DELS AMETLLERS	Carrer dels Ametllers
CL DELS DOFINS	Carrer dels Dofins
CL DELS GARROVERS	Carrer dels Garrovers
CL DELS HORTS	Carrer dels Horts
CL MOROS; DE LOS UB S VITAMI	Carrer dels Moros
CL DELS PIRATES	Carrer dels Pirates
CL DELS ULLASTRES	Carrer dels Ullastres
CL DES BANYER	Carrer des Banyer
CL DES BARRANC FOSC	Carrer des Barranc Fosc
CL DES CANALO DE BAIX	Carrer des Canaló de Baix
CL DES CANALO DES BOUER	Carrer des Canaló des Bouer
CL DES CANALO DES GARROVERS	Carrer des Canaló des Garrovers
CL DES COLL DES PALMER	Carrer des Coll des Palmer
CL DES COMERÇ	Carrer des Comerç
CL DES FORN	Carrer des Forn
CL DES GRILLONS	Carrer des Grillons
CL DES MELIANS	Carrer des Melians
CL DES MERCADAL	Carrer des Mercadal
CL DES MIGJORN GRAN	Carrer des Migjorn Gran
CL DELS PINS	Carrer des Pins
CL DES PLA GRAN	Carrer des Pla Gran
CL DES PLA DE S'AVENC	Carrer des Pla de s'Avenc
CL DES PLA DE SA SINIA	Carrer des Pla de sa Sínia
CL DES PLA DES POU	Carrer des Pla des Pou
CL DES PORRASSAR	Carrer des Porrassar Nou
CL DES POUS	Carrer des Pous
CL DES RAMAL	Carrer des Ramal
CL DES REGALO	Carrer des Regalo
CL DES VERGERET	Carrer des Vergeret
CL ES CAMI NOU	Carrer es Camí Nou
CL ES CARRERO	Carrer es Carreró
CL DE L'ARENAL	Carrer l'Arenal
CR CARRETERA NOVA	Carrer sa Carretera Nova
CR MAO-CIUTADELLA	Carretera de Maó a Ciutadella
CL COSTA D'EN MACARI	Costa d'en Macari
CL COSTA DE LLIMPA	Costa de Llimpa
CL COSTA DE L'ESGLESIA	Costa de l'Església
CL COSTA DES FRARES	Costa des Frares
CL COSTA DES POU	Costa des Pou
PZ DES RAMAL	Plaça Es Ramal
ES ESCALA D'ALAIOR	Escala d'Alaior
PS PRADO; SAN JAIME MEDITER	Paseo Prado
PG PASSATGE DES PONT	Passatge des Pont
PS PASSEIG MARITIM	Passeig Marítim
PS MARITIMO; SAN JAIME MEDIT	Passeig Marítim
PS PASSEIG DE LA PLATJA	Passeig de la Platja
PZ DEL BISBE SEVER	Plaza del Bisbe Sever
PZ NOVA	Plaça Nova
PZ SA PLACETA	Plaça Sa Placeta
PZ DE DALT SES PENYES	Plaça de Dalt ses Penyes
PZ DE LA CONSTITUCIO	Plaça de la Constitució
PZ DE SA BASSA DE SANT PERE	Plaça de sa Bassa de Sant Pere
PZ DES FOSSAR	Plaça des Fossar
TR TRAVESSERA DE TRAMUNTANA	Travessera de Tramuntana
TR HORT DE SES MONGES	Travessera de s'Hort de ses Monges
TR MEDITERRANEO	Carrer de la Mediterrània
TR TRAMUNTANA	Travessera de Tramuntana
