ER EXTRARRADIO	
CL AVILA	Calle Ávila
CL ALAMEDA	Calle Alameda
CL ALTO BARRIO	Calle Alto Barrio
CL ANCHA	Calle Ancha
CL ANTONIO MACHADO	Calle Antonio Machado
CL ARRABAL	Calle Arrabal
CL BEJAR	Calle Béjar
CL PEQUEÑA	Calle Menor a la Plaza
CL CALLEJAS	Calle Callejas
CM CAMINEROS	Calle Camino Caminero
CL CANTARRANAS	Calle Cantarranas
CL CAÑO DE LA CERRADA	Calle Caño de la Cerrada
CL CENTRO	Calle Ceferino Recio
CL CERVANTES	Calle Cervantes
CL DAVID ESCUDERO	Calle David Escudero
CL ESCUELAS	Calle Escuelas
CL ESTACION	
CL FERNANDO DE ROJAS	Calle Fernando de Rojas
CL GUIJUELO	Calle Guijuelo
CL IGLESIA	Calle Iglesia
CL TRAVIESA	Calle Iglesia
CL INTERIOR	Calle Interior
CL JUAN CURTO	Calle Juan Curto del Pozo
CL LA PALOMA	Calle La Paloma
CL LEDESMA	Calle Ledesma
CL LEON	Calle León
CL LAZARO CARRETER	Calle Lázaro Carreter
CL MARTIN GAITE	Calle Martín Gaite
CL MARIA ISABEL MENDEZ HERRE	Calle María Isabel Méndez Moreno
CL MAYOR-PLAZA	Calle Mayor a la Plaza
CL MIGUEL DE UNAMUNO	Calle Miguel de Unamuno
CL NORTE	Calle Norte
CL NUEVA	Calle Nueva
CL PALENCIA	Calle Palencia
CL PEÑARANDA	Calle Peñaranda
CL POL.IND.CASTELLANOS DE M.	Polígono Industrial de Castellanos de Moriscos
CL PONIENTE	Calle Poniente
CL AFUERAS	Calle Ronda de las Afueras
CL RIA DE AROSA	Calle Ría de Arosa
CL RIA DE CAMARIÑA	Calle Ría de Camariña
CL RIA DE MUROS	Calle Ría de Muros
CL RIA DE ORTIGUEIRA	Calle Ría de Ortigueira
CL RIA DE PONTEVEDRA	Calle Ría de Pontevedra
CL RIA DE VIGO	Calle Ría de Vigo
CL SALAMANCA	Calle Salamanca
CL SAN ESTEBAN	Calle San Esteban
CL SAN PEDRO	Calle San Pedro
CL ROSA	Calle de La Rosa
CL SAN ROQUE	Calle San Roque
CL SECTOR U1-UR	Camino de Cabrerizos
CL SECTOR UI 1D	
CL SECTOR UI 2D	
CL SECTOR UI 3D	
CL SORIA	Calle Soria
CL TIERNO GALVAN	Calle Tierno Galván
CL TORRENTE BALLESTER	Calle Torrente Ballester
CL VALLADOLID	Calle Valladolid
CL VITIGUDINO	Calle Vitigudino
CL ZAMORA	Calle Zamora
CL HUERTA, LA	Calle de la Huerta
CL POZO, EL	Calle del Pozo
CM CABRERIZOS	Camino de Cabrerizos
CM LOS VILLARES	Camino de Los Villares
CM MORISCOS 1	Camino de Moriscos
CM LAVAJOS, DE LOS	Camino de los Labajos
CM MORISCOS	Camino de Moriscos
CR BURGOS-PORTUGAL	
PZ MAYOR	Plaza Mayor
PL P.PARCIAL U4-UR	Calle Cervantes
CL RONDA EXTERIOR	Ronda Exterior
RD SAN ISIDRO	Ronda San Isidro
TR CEFERINO RECIO	Calle Ceferino Recio
UR ALMUNIA	Urbanización Almunia
