7334106YH5973S	73341
7439608YH5973N	74396
7434103YH5973S	74341
7239506YH5973N	72395
000501100YH59F	missing
6540204YH5964S	65402
001209500YH59D	001
7434214YH5973S	74342
7333821YH5973S	73338
002300100YH59D	004
0160313YH6905N	01603
7234010YH5973S	72340
7239510YH5973N	72395
03006A00400173	004
0159206YH6905N	01592
7034807YH5973S	70348
7434226YH5973S	74342
0159805YH6905N	01598
7239518YH5973N	72395
0160308YH6905N	01603
6536309YH5963N	65363
0059514YH6905N	00595
000100200YH69E	missing
7037101YH5973N	70371
7239504YH5973N	72395
0261505YH6906S	02615
7333707YH5973S	73337
7442504YH5974S	74425
03006A00300683	003
001800200YH59D	004
7234317YH5973S	72343
0013010YH5950N	001
0008011YH5950N	001
7337301YH5973N	73373
6539423YH5963N	65394
03006A00600106	006
7234017YH5973S	72340
6938801YH5963N	69388
7234206YH5973S	72342
6632501YH5963S	66325
7342115YH5974S	73421
7434227YH5973S	74342
7334404YH5973S	73344
7346704YH5974N	73467
7534605YH5973S	75346
0361501YH6906S	03615
6536305YH5963N	65363
7643106YH5974S	76431
0159103YH6905N	01591
000200100YH59B	004
7333806YH5973S	73338
9858303YH5995N	98583
000801300YH59D	003
001100900YH69E	003
7435710YH5973S	74357
7234601YH5973S	72346
6537902YH5963N	65379
7442509YH5974S	74425
7442202YH5974S	74422
6539426YH5963N	65394
03006A00200259	missing
001600100YH69E	003
7342120YH5974S	73421
7334402YH5973S	73344
7235702YH5973S	72357
0059511YH6905N	00595
7534609YH5973S	75346
001803200YH59D	004
6540302YH5964S	65403
001207700YH59D	001
0012058YH5950N	001
03006A00400188	004
03006A00400280	004
001305100YH59D	004
03006A00300025	003
03006A00300027	003
03006A00300026	003
6638401YH5963N	66384
6838104YH5963N	68381
7333705YH5973S	73337
7333715YH5973S	73337
0261508YH6906S	02615
7346709YH5974N	73467
7433306YH5973S	74333
001208700YH59D	005
03006A00600188	006
000500300YH59F	missing
03006A00500064	005
03006A00400176	004
7335802YH5973N	73358
03006A00500068	005
7234625YH5973S	72346
7234018YH5973S	72340
7342111YH5974S	73421
0160316YH6905N	01603
0160310YH6905N	01603
7433310YH5973S	74333
7434233YH5973S	74342
03006A00200171	missing
03006A00400093	004
0159202YH6905N	01592
0013045YH5950N	00130
0013021YH5950N	001
03006A00300723	003
03006A00500129	005
7333203YH5973S	73332
7334114YH5973S	73341
7039203YH5973N	70392
6634812YH5963N	66384
7434205YH5973S	74342
002000500YH59F	missing
0013012YH5950N	00130
6540212YH5964S	65402
7434603YH5973S	74346
7342104YH5974S	73421
7234614YH5973S	72346
7346724YH5974N	73467
7543808YH5974S	75438
7234602YH5973S	72346
7234219YH5973S	72342
03006A00600074	006
03006A00500014	005
001201500YH96C	003
001207200YH59D	001
0008004YH5950N	001
7334104YH5973S	73341
7235601YH5973S	72356
0159201YH6905N	01592
7234221YH5973S	72342
6437501YH5963N	64375
7335605YH5973S	73356
7434105YH5973S	74341
0361604YH6906S	03616
03006A00300488	003
7234613YH5973S	72346
6732803YH5963S	67328
7432106YH5973S	74321
0013020YH5950N	001
7444603YH5974S	74446
0013014YH5950N	00130
03006A00400223	004
03006A00300379	003
001101700YH69E	missing
7333811YH5973S	73338
0008005YH5950N	001
002300300YH59D	004
0013026YH5950N	001
7632247YH5973S	76322
6539412YH5963N	65394
6539402YH5963N	65394
0260208YH6906S	02602
7333813YH5973S	73338
6538304YH5963N	65383
7444105YH5974S	74441
7234202YH5973S	72342
7544406YH5974S	75444
7234610YH5973S	72346
001800300YH59D	004
0159001YH5905N	01590
7434230YH5973S	74342
7433307YH5973S	74333
03006A00500212	005
6732804YH5963S	67328
6539427YH5963N	65394
7042707YH5974S	70427
7239513YH5973N	72395
0260601YH6905N	02606
7235610YH5973S	72356
7434234YH5973S	74342
000501200YH59F	missing
6838102YH5963N	70351
001209600YH59D	001
7434218YH5973S	74342
7234621YH5973S	72346
0160319YH6905N	01603
03006A00300577	003
03006A00300574	003
0013002YH5950N	001
03006A00300473	003
6840202YH5964S	68402
7334103YH5973S	73341
03006A00300474	003
0008027YH5950N	001
6536308YH5963N	65363
7645101YH5974S	76451
7346728YH5974N	73467
0159004YH6905N	01590
7235605YH5973S	72356
7434224YH5973S	74342
0059507YH5995N	00595
6539407YH5963N	65394
03006A00600071	006
03006A00300216	003
6437504YH5963N	64375
0012015YH5950N	001
7239909YH5973N	72399
6540301YH5964S	65403
0159106YH6905N	01591
03006A00300888	003
7234316YH5973S	72343
9956102YH5995N	99561
0160302YH6906S	01603
6840101YH5964S	68401
7039401YH5973N	70394
03006A00600213	006
7543810YH5974S	75438
0159803YH6905N	01598
7444608YH5974S	74446
6838103YH5963N	68381
0361602YH6906S	03616
0160318YH6905N	01603
7645104YH5974N	76451
000500800YH59F	missing
0159101YH6905N	01591
7234209YH5973S	72342
03006A00300503	003
7034806YH5973S	70348
0008025YH5950N	001
7342109YH5974S	73421
0160311YH6905N	01603
6638402YH5963N	66384
0160601YH6905N	01606
0159005YH6905N	01590
03006A00600283	006
001307000YH59D	001
6539409YH5963N	65394
7435707YH5973S	74357
